wl,W1.1.W,W1.2.W.N,W2.1.W,W2.2.W.P,W3.1.W,W4.1.W,W4.2.W.P,W9.1.W,W10.1.W,W10.1.Y,W10.2.W.P,W11.1.WY,W11.2.W.N,W12.1.W,W12.1.Y,W12.2.W.P,W13.1.W,W13.1.Yl,W13.1.Ys,W13.2.WY.N,W14.1.W,W15.1.WY,W15.1.Y,W15.2.W.N,W16.1.W,W16.2.W.P,W17.1.W,W18.1.Wl,W18.1.Y,W18.1.Ws,W18.2.W.P,W19.1.W,W19.1.Y,W20.1.W,W20.1.WY,W21.1.W,W21.1.Y,W22.1.WY,W22.1.Y,W23.1.W,W23.1.Y,W24.1.WY,W24.1.Y,W25.1.Y,W25.2.W.N,W26.1.Y,W26.2.W.P,W27.1.Y,Y1.2.W.N,Y3.1.W,Y3.2.W.N,Y4.1.W,Y9.1.W,Y9.1.WY,Y9.2.W.N,Y9.2.WY.N,Y10.1.Ws,Y10.1.Y,Y10.1.Wl,Y10.2.W.P,Y11.1.WY,Y11.2.WY.N,Y12.1.WY,Y13.1.WY,Y13.1.Y,Y14.1.WY,Y14.1.Y,Y14.2.Y.N,Y15.1.WY,Y15.1.Y,Y15.1.W,Y16.1.W,Y16.2.W.P,Y17.1.Ws,Y17.1.Y,Y17.1.Wl,Y18.1.W,Y18.1.Y,Y19.1.W,Y19.1.Y,Y19.2.W.P,Y20.1.W,Y20.1.WY,Y20.1.W,Y21.1.WY,Y21.1.Y,Y22.1.WY,Y22.1.Y,Y23.1.W,Y23.1.WYl,Y23.1.WYs,Y24.1.Y,Y25.1.Y,Y25.2.WY.N,Y26.1.Y,Y26.2.W.P,Y26.2.WY.P,Y27.1.W,Y27.1.Y,Y27.2.W.P
300.031616,25.03526933,88.020929,61.295535,125.944074,49.90826467,67.85570833,101.492701,101.4746323,48.68959933,29.63783267,18.79910467,50.56519833,88.36621333,88.06220467,12.65288433,78.86166367,75.79136633,43.37163667,36.018608,23.52272333,134.063146,42.76756933,44.03385667,27.723421,89.71270233,68.753273,63.09242633,30.19989267,33.60874367,58.579526,58.579526,62.06388233,25.29499267,47.33608867,41.38093033,44.228789,8.849942667,37.67910633,16.18789667,36.8400135,19.94950033,24.99045867,22.98559,62.24452367,88.68175533,42.351463,34.46121733,22.854471,34.71443633,125.2837447,94.77107233,96.17339567,121.3789623,49.50466067,113.4204737,21.51157267,28.44180367,46.713753,50.94119267,113.2503203,41.734188,108.468376,30.29233867,59.10451,31.49798167,57.32466233,55.92144,9.987746667,78.94513433,47.21766667,107.1918767,92.762629,79.87421933,57.020238,38.42459233,45.460986,28.53117367,22.868424,27.669788,12.98230333,27.984436,78.52229833,38.776101,115.889773,34.192973,20.73489967,33.674773,21.86147733,69.82851167,38.78858567,62.117274,50.01830667,37.661699,23.83694267,30.657142,102.134038,38.63427733,94.718783,27.320499,96.46488967
300.402832,25.07750233,88.53924333,61.57775833,126.226537,50.18066933,67.84102667,101.9696657,101.6591927,48.62712633,29.55776667,18.82911433,50.56148,88.639384,88.136574,12.52944833,79.30479433,75.90785733,43.47560633,36.07397433,23.42770333,134.9282377,42.82531333,43.99694333,27.65695567,90.013428,69.27436967,63.002126,30.19857567,33.62384,58.811315,58.811315,62.096817,25.32456333,47.33316433,41.63763167,44.510769,8.788033667,37.693592,16.19415567,36.8373585,19.98359933,24.95973967,22.93231133,62.38690433,89.09463767,42.36998233,34.238462,22.96891533,34.391311,126.3784283,95.44522367,96.77878033,121.854698,49.54900267,113.926463,21.39348233,28.44779367,46.852608,51.010381,114.2610117,41.60318233,108.7070163,29.92137267,58.88574233,31.491342,57.41932167,55.75662733,9.947996,78.77898167,47.09187833,107.737503,92.711057,80.68691267,57.10427967,38.384795,45.34982667,28.50491,22.713507,27.700767,12.91303333,28.02847967,78.95956433,38.77756367,117.0884347,34.07197833,20.75984033,33.71385733,21.86165767,69.47141,38.619283,61.88901,49.95198967,37.798327,23.79770767,30.88290833,103.0166833,38.67546333,95.264847,27.45046433,97.09679133
300.773987,25.14063267,88.99211767,61.72048667,126.991618,50.36659867,67.91855333,102.2063017,101.8227413,48.55429967,29.42675133,18.735137,50.50547933,88.93741867,88.47890967,12.411957,79.73512767,76.00925667,43.603349,36.137263,23.35004767,135.7153983,42.86579267,43.95324067,27.488259,90.29225667,69.76860567,62.78864567,30.10705367,33.53555567,58.990583,58.990583,62.09185533,25.35427533,47.23780167,41.82740133,44.63976933,8.764037667,37.60313667,16.15951633,36.7649955,20.023032,24.874607,22.86907,62.50252667,89.17787667,42.55528767,33.98771033,23.05368033,34.17017267,127.0290503,95.92783867,97.39522033,122.4549483,49.552957,114.532926,21.207346,28.48595833,46.851814,50.95931867,115.329689,41.61400233,109.1493937,29.44648233,58.686142,31.60502567,57.60671733,55.657584,9.908862333,78.60229233,47.02765,108.2036237,92.71116133,81.29346733,57.28058233,38.36423633,45.29019933,28.41140833,22.55533567,27.64764533,12.802904,28.073052,79.354533,38.86809367,117.9498877,33.96228,20.72875567,33.77601567,21.833396,68.98985,38.36946767,61.806712,49.920896,37.96529,23.703397,30.99178133,103.700002,38.82596867,96.00599933,27.674577,97.50208033
301.145111,25.23156367,89.6003,61.98945767,127.305013,50.46959167,68.04440633,102.5565237,102.1132077,48.44332867,29.240936,18.683782,50.42377,89.07829933,88.62579867,12.26507333,80.189107,76.14645667,43.73276767,36.29241667,23.215593,136.152804,42.95836767,43.87934367,27.25762733,90.48791,70.27471767,62.697735,30.152439,33.47153467,59.37197767,59.37197767,62.07403967,25.34720933,47.27009833,42.12804033,44.88663967,8.614778,37.465617,16.11499267,36.686222,20.080734,24.85420867,22.785153,62.740349,89.39048,42.70502467,33.74339533,23.10240733,33.86542867,127.8157247,96.54072067,97.89167,123.108429,49.48148767,115.1205877,20.97900133,28.44079467,46.79294567,50.95500067,116.18056,41.424661,109.5099793,29.09709867,58.47101333,31.53697167,57.70813867,55.51471867,9.871081,78.33362867,46.988417,108.771975,92.76648467,81.98882067,57.509304,38.33151367,45.10568867,28.28439433,22.41217033,27.683141,12.66702933,28.17060733,79.77068067,38.794628,119.1498233,33.88238167,20.71943533,33.86851767,21.86518433,68.53322867,38.21846533,61.76010667,50.03702667,38.091519,23.61151333,31.17330233,104.4719213,38.854388,96.60324367,27.90370367,97.95180733
301.516174,25.31380167,89.93409867,62.34909333,127.730349,50.61117667,68.06923167,102.8602397,102.1661373,48.28220267,29.02865467,18.486758,50.31766133,89.34902967,88.657234,12.10022733,80.71286033,76.24955233,43.84372967,36.380825,23.064351,136.6180473,42.980985,43.80319333,27.05012,90.62822967,70.504312,62.569598,30.174794,33.51495733,59.758686,59.758686,61.835294,25.38972567,47.18535633,42.32077533,45.017605,8.506340667,37.42219533,16.08154467,36.574458,20.121103,24.67330233,22.644255,62.921996,89.381587,42.838979,33.48811067,23.22062633,33.47508933,128.2552517,97.16037467,98.42421467,123.7274017,49.58677833,115.6424917,20.819179,28.400417,46.80928667,50.91925967,117.038124,41.28105167,109.8121493,28.72781733,58.31310133,31.48715467,57.77326967,55.454567,9.793368333,78.02088167,46.934466,109.065679,92.68743133,82.51284067,57.76389433,38.226776,45.17111333,28.173973,22.32031867,27.65049,12.65100167,28.35146133,80.17569233,38.634275,120.3031033,33.78460567,20.733936,33.88029,21.79292767,68.03348033,38.07970167,61.59048367,50.10216633,38.30696633,23.57988467,31.35425033,105.117963,38.92003633,97.33807867,27.900315,98.44510933
301.887207,25.441634,90.44744633,62.685604,128.0852433,50.611641,68.17681233,103.2499567,102.4820047,48.09530367,28.88033667,18.40136967,50.29777533,89.585134,88.852941,11.94707567,80.935318,76.337059,43.912435,36.47100833,22.943555,137.1990967,43.020593,43.75468833,26.932123,90.83279433,70.81262467,62.47327333,30.15918267,33.44516367,60.05576567,60.05576567,61.664435,25.368036,47.182068,42.43610367,45.16149533,8.440054667,37.450124,16.00931167,36.393054,20.167211,24.64138667,22.53494767,63.20384833,89.43588267,42.819871,33.17058167,23.33277367,33.01949133,128.9880423,97.77400733,98.85366567,124.2054113,49.450432,115.953911,20.63842167,28.45624433,46.847296,50.82846467,117.8055113,41.09819267,109.8794963,28.26987,58.00235367,31.36050767,57.778342,55.47738633,9.805422,77.651451,46.95245267,109.6265947,92.503034,83.03133133,57.79493067,37.95491667,45.106323,28.09143,22.185815,27.55498367,12.52850267,28.469018,80.365659,38.55503467,121.0530523,33.57018667,20.74268467,33.987429,21.77268833,67.73650367,37.862893,61.42148733,50.13014867,38.33914367,23.506991,31.41971767,105.576289,39.037834,97.830437,27.98835367,98.746188
302.258301,25.433557,90.919557,62.96300367,128.294548,50.70208233,68.294374,103.618205,102.5651907,47.87698867,28.6445,18.35315433,50.18236933,89.94178533,88.865364,11.80827833,81.312439,76.218732,43.93250667,36.55695467,22.78699733,137.4410047,43.03382767,43.611627,26.82130367,90.95058967,71.27054233,62.156193,30.11949867,33.291327,60.308318,60.308318,61.49588433,25.35705933,47.165806,42.70674,45.287656,8.415112333,37.39569067,15.88523433,36.292465,20.20186367,24.46342967,22.38285633,63.31139233,89.251643,42.819656,32.95947633,23.27895167,32.63842167,129.882042,98.41045633,99.250534,124.632098,49.32934567,116.274999,20.41981067,28.38309333,46.74879333,50.68618,118.59831,40.76526367,110.3599497,27.771834,57.718001,31.32064067,57.74654133,55.35262067,9.721403333,77.31339767,46.84429433,109.8038787,92.44234467,83.716502,57.998553,37.795868,44.93219767,27.97184533,21.89055033,27.55616467,12.37693467,28.43952133,80.46350133,38.40826567,121.999944,33.477559,20.770586,33.898833,21.686678,67.24169667,37.701032,61.10572433,50.19653567,38.35979333,23.33499567,31.490944,106.390668,39.15447233,98.364957,28.11981033,98.982483
302.629303,25.50623933,91.094461,63.047512,128.6322073,50.69261967,68.28108533,103.650065,102.714152,47.80447867,28.40313033,18.23402367,50.08355833,90.10228233,88.95670067,11.67749033,81.28420733,76.25057467,43.98807633,36.63253267,22.63015,137.331126,43.007744,43.51726667,26.60821967,90.91314967,71.38990133,61.76123433,29.92960933,33.32170433,60.364685,60.364685,61.08679967,25.366462,46.88741933,42.81924933,45.367494,8.373451667,37.278389,15.74777133,36.13259225,20.21153867,24.434318,22.18180533,63.24725233,89.31540433,42.866243,32.62070267,23.23630833,32.26879067,130.0244167,98.844912,99.62562567,124.7153447,49.170505,116.367551,20.20000067,28.35832067,46.61065833,50.587842,119.1965763,40.47969567,110.4765853,27.38180867,57.301933,31.167816,57.60104233,55.176403,9.683197667,76.704829,46.838712,110.0124817,92.31806967,84.07806667,58.03438067,37.68508767,44.62422433,27.96455533,21.64419233,27.542989,12.33897367,28.49442667,80.55268867,38.300341,122.5397897,33.41326167,20.74972733,33.90070733,21.60890967,66.67622633,37.37788667,60.86293033,50.19730733,38.34664933,23.17002133,31.53917833,106.9130323,39.15957,98.57794967,28.18387167,98.96832533
303.000305,25.583281,91.44919333,63.07962533,129.159009,50.569486,68.09075033,103.8282773,102.8214697,47.67846567,28.09312033,18.192663,49.89989733,90.35287733,88.81843067,11.502275,81.44164533,76.07701367,43.927236,36.68468967,22.476529,137.143725,42.818456,43.346827,26.33035067,90.81107833,71.48217533,61.43825367,29.79649067,33.19201867,60.584287,60.584287,60.73438533,25.31440267,46.75430933,42.90728733,45.28584267,8.314508667,37.167989,15.69610333,35.91348175,20.19122433,24.25651867,22.048179,63.19387933,89.36418667,42.74774933,32.19637933,23.29455733,31.86712333,130.1410017,99.16473367,99.68753067,125.256869,48.96079633,116.6896107,19.98517867,28.28357867,46.49549467,50.40768033,119.4728597,40.29036967,110.5992,26.92324767,56.90513733,30.902262,57.478115,54.938577,9.630282667,76.158666,46.645433,110.01313,91.94797233,84.45606733,57.858378,37.4644,44.55579867,27.88462533,21.484231,27.382677,12.220723,28.41444433,80.634857,38.12791333,123.1670787,33.30014933,20.60893733,33.954988,21.50536167,66.18747467,37.04919933,60.672464,50.12958033,38.433211,23.06786867,31.63464667,107.169118,39.242756,98.77194733,28.17503233,98.82468933
303.371216,25.6138,91.552775,63.257352,129.343745,50.567332,67.978785,104.0412723,102.694865,47.43994267,27.86429533,17.94409533,49.723751,90.39136767,88.73710133,11.33549033,81.50843033,75.769028,43.80888467,36.63417433,22.32844867,137.4205833,42.65983833,43.18161167,26.07567467,90.847473,71.70353467,61.103859,29.68496367,32.99216033,60.78214,60.78214,60.37209467,25.28040567,46.473933,43.023895,45.15053567,8.258962667,37.03376033,15.55346833,35.740699,20.226324,24.17565133,21.90014467,62.94491567,89.36361967,42.60278833,31.78651533,23.171991,31.43252967,130.814916,99.59525067,99.86697133,125.489072,48.78455667,116.764959,19.800862,28.205985,46.22792667,50.239942,119.5980707,39.99549733,110.4220453,26.47334733,56.61558433,30.75164833,57.35650367,54.74573667,9.510285,75.65365333,46.58155333,110.043785,91.71334867,84.55815867,57.781563,37.215735,44.32851167,27.76069433,21.27451433,27.28532467,12.12504267,28.37204167,80.599907,37.953482,123.7364807,33.14067767,20.40689533,33.77255467,21.424361,65.66796633,36.726181,60.206604,50.15331633,38.36613333,22.87919233,31.51651967,107.2335587,39.139332,98.89297,28.20537333,98.84514867
