wl,NpBW1.WY,NpBW2.WY,NpBW3.WY,NpSY1.WY,NpSY2.Y
300.031616,39.261486,15.625074,12.35259267,26.32579833,10.89967167
300.402832,39.54376433,15.48855767,12.21369867,26.370704,10.97674433
300.773987,39.73812333,15.412492,12.09295733,26.46127967,11.04978133
301.145111,39.93365433,15.283591,11.99594567,26.56999033,11.10939733
301.516174,40.223961,15.08218067,11.864393,26.55032467,11.16152333
301.887207,40.46758667,14.87637833,11.71009933,26.610164,11.17708
302.258301,40.71913833,14.73151667,11.51500233,26.63459567,11.24495967
302.629303,40.96422,14.56381767,11.387609,26.65581633,11.26692933
303.000305,41.130624,14.54821933,11.32881233,26.65698767,11.25387167
303.371216,41.30115067,14.42549733,11.27481767,26.68311233,11.31623167
303.742126,41.402778,14.21354967,11.17334833,26.63233633,11.365465
304.113037,41.43328233,14.11747333,11.13532267,26.57091833,11.36500267
304.483856,41.57006,13.94709133,11.00256233,26.503802,11.366145
304.854736,41.61173833,13.801031,10.81964767,26.399488,11.339018
305.225525,41.66724367,13.69794067,10.70134367,26.29533433,11.24783633
305.596283,41.68789667,13.50616967,10.566373,26.17487767,11.17159067
305.967041,41.79006633,13.34552333,10.45669967,25.98461467,11.09589833
306.337769,41.751882,13.13816833,10.26861467,25.85064567,11.09691533
306.708405,41.64617933,12.99115333,10.162356,25.756644,11.033768
307.079071,41.756496,12.82728033,9.956608667,25.63782367,11.072008
307.449677,41.662361,12.62898033,9.742133,25.51442767,10.95976633
307.820313,41.701621,12.529287,9.665410333,25.417116,10.90320533
308.190857,41.61886933,12.42033967,9.610211,25.37161067,10.91610133
308.561401,41.66245467,12.23316933,9.491765,25.274518,10.88501067
308.931915,41.64529433,12.074264,9.375373667,25.16814667,10.79776067
309.302399,41.63476067,11.89275,9.222110667,25.04879,10.74479933
309.672821,41.71801067,11.81932333,9.072475333,24.94601333,10.724417
310.043243,41.616034,11.66182367,8.942021333,24.852459,10.712504
310.413635,41.629165,11.54537067,8.841957333,24.737743,10.73248733
310.784027,41.56965267,11.34990267,8.752029333,24.612493,10.69208533
311.154327,41.49213867,11.23200467,8.642016333,24.493109,10.65412233
311.524628,41.41842067,11.172544,8.570498,24.33294467,10.60396233
311.894928,41.412796,11.09055667,8.442173,24.25305233,10.543502
312.265167,41.30989633,11.05350767,8.340257667,24.06471767,10.579942
312.635345,41.26965967,10.94762833,8.292536,24.012857,10.58494967
313.005524,41.31403967,10.83414867,8.215154667,24.000469,10.645597
313.375671,41.29075867,10.81256033,8.1042,23.91996267,10.633262
313.745819,41.30473467,10.69978933,8.025581667,23.89999033,10.63659367
314.115906,41.29484733,10.589253,7.963442,23.93042933,10.541897
314.485962,41.27443367,10.419471,7.865809,23.83664367,10.538194
314.855988,41.15001233,10.318931,7.862696333,23.86166233,10.49214367
315.225983,41.10876967,10.32535267,7.875134667,23.805014,10.46434733
315.595947,41.024186,10.19719867,7.85894,23.75162167,10.44163033
315.965912,40.96045767,10.06483433,7.787303667,23.752779,10.46370267
316.335815,40.86927167,10.04735933,7.702881333,23.71369633,10.49163867
316.705688,40.841113,10.03896633,7.779459,23.622638,10.512259
317.075562,40.68886833,10.11040767,7.855239333,23.575274,10.58544733
317.445374,40.57871,10.11595133,7.945299,23.50483933,10.636678
317.815216,40.51409467,10.12384933,7.920076,23.51671933,10.59801933
318.184967,40.412773,10.18500467,7.984231333,23.42612933,10.43427267
318.554688,40.33576433,10.16588467,7.96903,23.407238,10.455186
318.924377,40.324412,10.06546767,7.903619667,23.37413633,10.49304433
319.294037,40.31396567,9.965162667,7.898296,23.33863267,10.45264367
319.663696,40.189103,9.891846,7.936155,23.23801667,10.42497433
320.033295,40.15417933,9.868950333,7.998618333,23.288272,10.26901633
320.402924,40.18520533,9.869215333,7.995396,23.254486,10.172525
320.772461,40.025039,9.900060667,8.046808,23.084827,10.158989
321.141968,39.96181133,9.921258667,8.131516667,23.016002,10.16733033
321.511475,39.91253467,10.00528367,8.149286,23.05054067,10.149294
321.88092,39.84370767,10.12297233,8.234656667,22.91725667,10.192541
322.250366,39.890003,10.243286,8.272531667,22.95040633,10.201265
322.619751,39.805435,10.28553233,8.219629333,22.813769,10.180657
322.989136,39.837399,10.278975,8.251579,22.80160367,10.12944567
323.35849,39.77725267,10.447148,8.225836667,22.69111967,10.11015033
323.727814,39.745011,10.48022767,8.264036667,22.61222233,10.03426067
324.097107,39.77420867,10.49758733,8.374841,22.55427533,9.948152667
324.466339,39.66349333,10.50964067,8.322833333,22.54697667,9.948861667
324.835541,39.68047067,10.47917,8.269829333,22.51353967,9.936433667
325.204712,39.63045733,10.537993,8.380384667,22.47685433,10.00221667
325.573914,39.56466467,10.66515067,8.437035333,22.363115,10.02531033
325.943024,39.49320833,10.757439,8.417115333,22.418057,10.19863267
326.312164,39.48553167,10.83143233,8.491864333,22.427725,10.19534833
326.681244,39.48160867,10.97218667,8.536084,22.497083,10.15909433
327.050262,39.482798,11.10602533,8.571267333,22.51781967,10.17781233
327.41925,39.55685233,11.16560733,8.599662667,22.610298,10.240618
327.788239,39.560294,11.287383,8.546634333,22.61797267,10.35419467
328.157166,39.48902267,11.32467567,8.629769667,22.67760867,10.38357367
328.526123,39.52693667,11.45000133,8.667425667,22.712647,10.29697367
328.894989,39.39435667,11.49915733,8.734123,22.771162,10.21937033
