wl,PgBW1.W,PgOB1.W,PgOB2.W,PgOB3.W,PgOB4.W,PgSY1.W,PgSY2.Y,PgSY3.W,PgSY4.W,PgSY5.W
315.965912,80.713773,56.49036267,16.89275567,53.96883267,44.253067,75.50595833,7.202869667,80.622256,48.24769067,95.967855
316.335815,80.62012,56.630184,16.87280967,53.960996,44.30953633,75.42397833,7.186072,80.70783467,47.77079667,95.507716
316.705688,80.74794767,56.699394,16.895334,53.890507,44.324514,75.34473667,7.203396667,80.73515833,47.23791633,95.25722267
317.075562,80.77681233,56.720717,16.82850467,53.87341067,44.324899,75.327454,7.219122667,80.756597,46.81160867,94.866445
317.445374,80.78358967,56.713534,16.863494,53.89404667,44.44549433,75.22275,7.332894333,80.82726033,46.35436267,94.47573867
317.815216,80.812973,56.90050033,16.88070167,53.800518,44.602127,75.23362733,7.420738333,80.77698,46.02592367,94.17377967
318.184967,80.637624,57.032936,16.96436433,53.71238967,44.64847833,75.20136267,7.444472333,80.84222133,45.72295767,93.98021167
318.554688,80.46150967,57.10418933,16.952702,53.758335,44.71779133,75.20352167,7.436237,80.82789333,45.40657167,93.702156
318.924377,80.35896567,57.14855933,16.94201833,53.609778,44.78676367,75.19224267,7.416092333,80.95921333,45.12931833,93.63899467
319.294037,80.3069,57.27146133,16.99550333,53.60351933,44.79667667,75.14005,7.443681333,81.13019567,44.681712,93.334717
319.663696,80.15589667,57.27144133,17.07934467,53.607039,44.839358,74.93881233,7.476961667,81.235425,44.363027,92.85690067
320.033295,79.93358367,57.29599,17.10380333,53.556474,44.883069,74.67714167,7.454429333,81.19681833,43.95734533,92.50852967
320.402924,79.528287,57.263733,17.083362,53.51755133,44.853386,74.47864533,7.46931,81.06607567,43.50868367,92.04128267
320.772461,79.169505,57.217753,17.07792,53.516828,44.841897,74.07632433,7.548305667,80.952665,42.97827633,91.77480333
321.141968,78.96942133,57.15587867,17.12321667,53.30245967,44.776315,73.98343933,7.532213667,80.92149867,42.59956267,91.40517967
321.511475,78.79248833,57.06433,17.08684467,53.350702,44.725549,73.649737,7.482083,80.876414,42.331671,91.23054267
321.88092,78.613744,57.06156533,17.08594533,53.345402,44.59329967,73.54427867,7.504479333,80.79644233,42.00714233,91.020485
322.250366,78.43234,57.069351,17.07421467,53.34612533,44.58155333,73.40425367,7.507132,80.801173,41.644553,90.84637967
322.619751,78.41552467,57.17965433,17.09363767,53.22405733,44.726715,73.392199,7.532436333,80.732508,41.37539967,90.52288833
322.989136,78.19420833,56.97067767,17.147248,53.08731733,44.75542567,73.25910967,7.547531667,80.46784733,41.05062767,90.420779
323.35849,78.22300467,57.04522467,17.15781567,53.02606467,44.85291133,73.14966067,7.613303,80.19299333,40.83030467,90.284541
323.727814,77.89638,56.85979867,17.156017,52.93620667,44.92848867,73.08027133,7.621092333,80.14960467,40.69938133,90.05322767
324.097107,77.798355,56.750159,17.20031433,52.98860933,44.88396833,72.85079967,7.691550667,80.10685233,40.51076367,90.02347833
324.466339,77.530001,56.78325167,17.20986233,53.06344067,45.03826667,72.76629633,7.735452667,80.28430933,40.45423167,89.936961
324.835541,77.40121467,56.91545233,17.22707233,53.150481,45.06791967,72.6564,7.734658,80.31020867,40.22611633,89.78614033
325.204712,77.255249,57.00681033,17.29191433,53.145317,45.04525667,72.48313633,7.688683,80.32782733,40.13879533,89.57301067
325.573914,77.14782967,56.95625567,17.404228,53.055158,45.03862533,72.19246167,7.746221,80.358177,39.86855867,89.418017
325.943024,77.056999,56.89270433,17.313679,53.05449567,45.07380067,72.05779267,7.757992333,80.19971967,39.636831,89.10185033
326.312164,77.01458767,56.897198,17.381473,52.91402567,45.128291,71.945707,7.754251333,80.25029767,39.47336633,88.88648
326.681244,76.85375467,56.78268433,17.47497067,53.06634533,45.21803933,71.70872733,7.795343667,80.16006733,39.16336267,88.661077
327.050262,76.73119333,56.71332967,17.48114567,52.89818833,45.244124,71.61196633,7.842453333,80.05709333,39.018188,88.485591
327.41925,76.73920433,56.79211667,17.417714,52.82436,45.28683333,71.56695833,7.863965333,80.20523833,38.83471033,88.283681
327.788239,76.82730833,56.76588967,17.35877367,52.79517767,45.313239,71.72496533,7.913494,80.344528,38.72864333,88.14961967
328.157166,76.926641,56.807821,17.42226233,52.81364933,45.28071367,71.747205,7.953905,80.620547,38.63642367,88.089584
328.526123,77.007988,56.857385,17.456396,52.78527467,45.297563,71.73231733,7.857476333,80.82348633,38.649461,87.87299333
328.894989,76.96805333,56.83804067,17.48354133,52.88172633,45.32219333,71.66866067,7.781790333,80.83474733,38.56246967,87.88124333
329.263885,77.07299767,56.891768,17.47019733,52.877996,45.503099,71.72592433,7.822975667,80.95039633,38.51461267,87.800845
329.63269,77.23733533,56.80139767,17.48332167,52.94973633,45.55693667,71.616783,7.819058333,81.114573,38.42615867,87.627642
330.001495,77.17094967,56.94122333,17.46196033,52.99630367,45.68462233,71.49102267,7.721365,81.39919533,38.373958,87.58275367
330.37027,77.23883033,57.07367467,17.41373867,53.134931,45.59306067,71.29198667,7.732379,81.440852,38.24564233,87.50207767
330.738983,77.23318467,57.27808867,17.32811467,53.33332567,45.54885867,71.199117,7.710447333,81.74555233,38.17930033,87.28628533
331.107697,77.14280233,57.219195,17.46063467,53.37437167,45.487695,71.07767267,7.612493,82.14589433,37.997062,87.27868667
331.476379,77.09585833,57.34031033,17.44325567,53.37661733,45.396309,70.83241033,7.580912333,82.303711,37.809702,87.16808067
331.845032,76.912239,57.48693467,17.36776533,53.41855767,45.44976167,70.88233433,7.571123667,82.47572833,37.74992167,87.201627
332.213654,76.83562233,57.46944833,17.382789,53.224131,45.433638,70.79081967,7.578142333,82.54638167,37.735635,87.07939633
332.582245,76.50599167,57.55305733,17.41485033,53.118576,45.464105,70.737676,7.646380333,82.809807,37.69701233,87.150548
332.950806,76.405894,57.48653033,17.40130133,53.13123833,45.530108,70.81037667,7.574212667,82.85308567,37.70417033,87.23276233
333.319305,76.23997,57.52210733,17.304445,53.23690267,45.51148867,70.80172733,7.465541667,82.845479,37.768631,87.13093333
333.687775,76.18598167,57.64789867,17.33940567,53.299947,45.52287667,70.699969,7.450905,83.25103733,37.78389933,87.17683167
334.056244,75.958969,57.558833,17.27482067,53.35903533,45.50026667,70.64527367,7.474784,83.31200133,37.82485067,87.07960033
334.424683,75.950325,57.65024567,17.20878633,53.355246,45.406148,70.65291833,7.485127333,83.497653,37.948951,87.01423933
334.793091,75.882426,57.74060033,17.17975,53.497875,45.38701367,70.59190367,7.376875,83.72273233,38.03811967,86.86998
335.161499,75.85131333,57.77610767,17.11462667,53.557462,45.328527,70.45040633,7.276334667,83.71115867,38.11094467,86.71460733
335.529785,75.78835067,57.808796,17.182773,53.67084367,45.53203833,70.296649,7.210104,83.85519667,38.16589533,86.73517867
335.898132,75.74007667,57.79989733,17.124808,53.70514433,45.632848,70.27547467,7.219265,83.94402567,38.19026433,86.45589167
336.266388,75.61842067,57.830218,17.07426333,53.65472933,45.61826467,70.25114167,7.282153,84.07725767,38.22098367,86.48537433
336.634613,75.50716933,57.97507467,17.14214667,53.63302233,45.67589833,70.13495633,7.336360333,84.13496667,38.31338733,86.245122
337.002838,75.469874,58.024305,17.182903,53.66404233,45.640504,70.115977,7.277251333,84.24746433,38.350454,86.08328767
337.371033,75.36031833,58.22386833,17.24849567,53.600418,45.685636,70.092471,7.310728333,84.37593867,38.44759767,85.99082667
337.739197,75.40265933,58.215551,17.26526067,53.62663533,45.675311,70.17292,7.355786,84.310936,38.58932933,85.975553
338.10733,75.227636,58.24738333,17.29298967,53.66247433,45.763912,70.19190967,7.340857,84.687187,38.76697233,85.801132
338.475433,75.20435333,58.27132933,17.33815,53.58191667,45.80114367,70.154724,7.330493,84.74443067,38.95164033,85.81757133
338.843475,75.064611,58.34724167,17.22539,53.58114767,45.97107333,70.12242367,7.338779667,84.81830567,39.259947,85.64159133
339.211517,75.23284167,58.354534,17.32082833,53.657664,46.02418633,70.24136867,7.379697333,84.807223,39.475517,85.592443
339.579498,75.20189933,58.371901,17.339123,53.62958267,46.07841633,70.34461967,7.361975333,84.90884167,39.675946,85.41416667
339.947449,75.23486833,58.51327633,17.31878733,53.87679267,46.08864967,70.585701,7.320838333,84.84961433,39.828259,85.38828533
340.31543,75.36325067,58.48141333,17.21153067,54.03789,46.04139067,70.61040233,7.235979333,84.67794567,40.05892667,85.273575
340.683289,75.306829,58.67353467,17.17522833,54.15739667,46.045133,70.63310467,7.242029667,84.80808533,40.34793467,85.23623933
341.051208,75.320193,58.76284633,17.17668933,54.18399667,46.01420467,70.61372867,7.246348667,85.03042333,40.52753467,85.34588333
341.419067,75.40213533,58.73260233,17.20375667,54.173105,46.004139,70.55240367,7.198907333,84.831777,40.754949,85.25631233
341.786865,75.62488033,58.92551033,17.21966633,54.17380533,46.04450367,70.471593,7.225563333,84.99328367,40.99119967,85.077034
342.154663,75.593605,59.067824,17.28641667,54.05349567,46.169959,70.47386167,7.198029667,85.100604,41.183632,84.99746467
342.522369,75.55143467,59.21637067,17.288278,54.04132367,46.283124,70.54723633,7.254883667,85.11646267,41.366412,84.93501267
342.890076,75.49803933,59.24641667,17.32129967,53.97573333,46.41822567,70.54862967,7.303671333,85.353549,41.62001567,84.919243
343.257813,75.44336967,59.28769033,17.34289533,53.931905,46.33822867,70.552864,7.330072667,85.317683,41.84484233,84.80081167
343.625458,75.47583533,59.34792067,17.40578633,53.97716533,46.396951,70.59699,7.283670667,85.314087,42.141668,84.82767733
343.993134,75.52118667,59.334905,17.42705633,53.968062,46.428795,70.64881667,7.245364667,85.53180167,42.40288167,84.71884433
344.360718,75.64607,59.47847367,17.38222333,54.02856067,46.40199767,70.626653,7.282465667,85.75954433,42.62742,84.686381
344.728271,75.506798,59.63300967,17.37257167,53.97986367,46.345703,70.53180933,7.291360667,85.92678067,42.92633067,84.61251067
345.095795,75.43222567,59.79528533,17.36262967,53.99479567,46.38270333,70.59835567,7.25454,86.03010067,43.14188667,84.533366
345.463287,75.34820567,59.93182867,17.388991,54.03080133,46.39547467,70.45409667,7.227345667,86.178238,43.433951,84.305481
345.83075,75.30858367,59.98101933,17.409542,54.05033733,46.331959,70.58467333,7.227917333,86.020569,43.68218233,84.34755467
346.198212,75.32493067,60.10355633,17.371414,54.09466433,46.320042,70.661072,7.205948333,85.97846967,43.83042133,84.20835133
346.565613,75.429428,60.13228867,17.36608267,54.19693267,46.176384,70.65456633,7.268919667,86.07918567,44.13329967,84.12006133
346.933014,75.39224,60.19777933,17.34030033,54.261078,46.213764,70.68672933,7.278664667,86.211314,44.468418,84.01886767
347.300354,75.54962433,60.28185267,17.35839833,54.25395933,46.12840133,70.53247833,7.228671,86.281087,44.819969,84.02817
