wl,W1,W2,W3,W4,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W20.1,W21,W22,W23,W24,W25,W26,W27,Y1,Y2,Y3,Y4,Y9,Y10,Y11,Y12,Y13,Y14,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27
517.256042,53.44166567,30.61558333,42.77069833,39.90686667,26.45302567,35.838894,34.08505033,28.71375133,26.601411,22.98379733,40.307364,42.27572033,32.475183,27.319348,37.97134333,33.47165367,45.26210933,43.91176367,48.70619233,28.20927,42.27426,53.4739,29.363949,22.016218,40.86623767,24.83989233,33.18901433,33.253371,22.79176333,25.93469367,28.68261267,27.35885367,29.30510767,31.438576,51.63316733,43.06928267,41.85344967,46.60636633,39.80453367,33.523181,47.641843,20.48909367,29.46476567,38.36166233,27.57630667
517.606689,53.44229233,30.624489,42.784003,39.94229133,26.51422733,35.90185633,34.06161167,28.781513,26.72765133,23.03470667,40.45913033,42.34583767,32.51858567,27.37517167,38.07839,33.45409833,45.32146833,43.97728467,48.76695367,28.25894867,42.32872667,53.570993,29.40746233,22.05947933,40.95461133,24.89871667,33.278338,33.27329633,22.83391067,26.00819467,28.776498,27.40853033,29.35468367,31.48659067,51.685833,43.15506733,41.92173,46.79748767,39.92876933,33.64621333,47.783334,20.53334067,29.53832167,38.50415433,27.63627333
517.957336,53.53427633,30.69079467,42.80398567,39.99638367,26.55610967,35.944575,34.09588,28.818494,26.89245933,23.104572,40.57813267,42.43609367,32.551188,27.394129,38.12675867,33.49878167,45.43156067,44.05412667,48.88723867,28.29930867,42.33979167,53.65751133,29.44687967,22.11929267,41.03331867,24.95278767,33.29757567,33.36892867,22.91552133,26.06350833,28.84203267,27.46342633,29.41831633,31.59747533,51.74953333,43.23796233,41.98365133,47.05970533,40.009692,33.762966,47.93110033,20.59157967,29.629004,38.67527833,27.63013767
518.307861,53.63621633,30.72098467,42.786944,40.085621,26.61240167,35.96393067,34.10442167,28.85724567,27.01491867,23.17422867,40.764168,42.49838867,32.53141333,27.42319933,38.178834,33.519229,45.500572,44.16738267,49.01127867,28.31731867,42.38375867,53.72620133,29.51359067,22.17132667,41.12080867,24.995086,33.38565733,33.42571433,22.934985,26.13008033,28.92884567,27.496078,29.474507,31.68563833,51.80779633,43.35243233,42.048186,47.25298833,40.08779033,33.82485467,48.06168267,20.64333967,29.68926667,38.79352767,27.735496
518.658386,53.70149867,30.721431,42.817122,40.12802367,26.691126,36.02970733,34.15274933,28.869056,27.14629567,23.21766267,40.97425833,42.566709,32.52386133,27.463701,38.21219633,33.549692,45.57736067,44.23623,49.14338967,28.334332,42.427292,53.834282,29.588635,22.18307633,41.22532133,25.06983467,33.463894,33.48229633,22.98870333,26.16590567,28.982107,27.49145333,29.51908033,31.77530633,51.88133133,43.41705567,42.105938,47.39130633,40.15965,33.90573367,48.223401,20.733127,29.74388967,38.90102133,27.74847433
519.00885,53.75229433,30.73855067,42.80018367,40.21687667,26.71433133,36.094288,34.16210367,28.91145133,27.244515,23.28257667,41.19344467,42.56066767,32.55577267,27.48659667,38.258124,33.58981833,45.66542433,44.31331,49.167201,28.38245233,42.46397033,53.88635867,29.65251233,22.23074533,41.32448567,25.149538,33.55500033,33.55167767,23.00984433,26.22323433,29.10939167,27.531345,29.57159433,31.85454733,51.95478933,43.47453067,42.132828,47.552129,40.25922367,33.98408,48.32896467,20.76972233,29.837634,39.07339033,27.813345
519.359314,53.80903133,30.76508833,42.86972067,40.29235833,26.76298967,36.17053967,34.21247867,28.93930767,27.393549,23.33009767,41.34697833,42.63007967,32.586377,27.50069933,38.312528,33.61701767,45.706473,44.33951667,49.17782967,28.386001,42.55544167,53.957644,29.69615433,22.27088667,41.43979,25.21961233,33.586699,33.616174,23.05080467,26.27399667,29.199938,27.59707733,29.57802033,31.94593167,52.02254233,43.554713,42.21879833,47.71062967,40.358003,34.055401,48.43523167,20.84590367,29.88572533,39.17981567,27.845393
519.709778,53.88961167,30.826117,42.93125933,40.353133,26.805561,36.242415,34.27133633,28.93570067,27.520328,23.39677467,41.53283033,42.69397467,32.62144433,27.541384,38.36426367,33.62459567,45.75459933,44.39724367,49.28443533,28.44338167,42.578271,54.119297,29.72723667,22.309586,41.510897,25.250067,33.65461233,33.68525767,23.078317,26.34556533,29.30798833,27.62534767,29.62650867,32.04624,52.074328,43.618286,42.303163,47.91073633,40.39990367,34.14985967,48.55161567,20.90775067,29.95155233,39.27385267,27.95223233
520.060181,53.912478,30.89001433,42.99194833,40.399221,26.83535233,36.30226267,34.27563233,28.974143,27.63965167,23.46596633,41.687447,42.76106633,32.593951,27.552793,38.386272,33.621091,45.83493033,44.43655,49.37900033,28.46325733,42.64744933,54.227178,29.73533967,22.351751,41.59795767,25.32645033,33.720969,33.68094267,23.104342,26.40007067,29.36376567,27.66980967,29.66319467,32.110931,52.190324,43.67314667,42.40638733,48.058557,40.46239367,34.27498633,48.702118,20.94001467,30.039613,39.36622633,28.022761
520.410461,53.94393,30.88351933,42.98346067,40.48332,26.87330133,36.32629133,34.291646,29.00277567,27.75225367,23.50698467,41.84830467,42.83972167,32.61208,27.58022767,38.43117333,33.68081967,45.91621133,44.50881833,49.45368467,28.541892,42.70741367,54.310665,29.71169933,22.37305167,41.68085967,25.33940367,33.77658567,33.72799967,23.14132167,26.45935433,29.47672267,27.67378433,29.69100333,32.23051767,52.31911067,43.70076767,42.47996533,48.185098,40.57709367,34.376351,48.77183033,20.969537,30.110175,39.52480633,28.06762333
