wl,Y1,Y2,Y3,Y4,Y5,Y6,Y9,Y10,Y11,Y12,Y13,Y14,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27
300.031616,18.10727333,9.009141333,11.92776733,10.87089367,11.53769367,13.29824833,11.32031333,9.716576333,11.54416433,11.57905467,18.217374,11.32592167,19.13722667,19.00384067,21.283039,16.75717833,13.932724,12.35594567,16.26589167,10.39669533,14.49317667,18.55671167,13.11355667
300.402832,18.20330667,8.990085667,12.00492667,11.02348,11.56384067,13.340721,11.28002,9.759195667,11.60780333,11.56870833,18.30121033,11.39971633,19.210011,18.99124367,21.37730467,16.841657,14.02905,12.42449333,16.28271,10.373752,14.51366167,18.70611033,13.146043
300.773987,18.27451867,8.987477,12.078706,11.12453333,11.62975767,13.399271,11.36400167,9.889913333,11.730239,11.55484733,18.35666467,11.47652133,19.22612567,19.059487,21.419677,16.89703533,14.081752,12.49241467,16.26872767,10.35031033,14.51223367,18.78630033,13.29425533
301.145111,18.365561,8.948390667,12.162384,11.26027267,11.66888767,13.455404,11.48578033,9.966641333,11.79959467,11.53406433,18.50746233,11.526334,19.25592467,19.113635,21.51764667,16.92646033,14.13617567,12.47953267,16.267602,10.43310033,14.53381633,18.982186,13.33086733
301.516174,18.566359,9.013675333,12.20152833,11.364499,11.82356267,13.514467,11.53698567,10.03418467,11.92147533,11.54919733,18.54255667,11.53093633,19.24674233,19.18860833,21.51302533,16.973016,14.15958533,12.45407567,16.33530967,10.47040667,14.56918567,19.16731033,13.37850833
301.887207,18.68997033,9.035754333,12.234981,11.446858,11.83704667,13.53328267,11.58209633,10.10688567,11.991379,11.69503033,18.61166033,11.55398433,19.188794,19.32250133,21.67001567,17.020362,14.24783133,12.52895233,16.29795767,10.606763,14.63533467,19.26021967,13.45985567
302.258301,18.81696667,9.017077667,12.37339833,11.49403933,11.901366,13.565099,11.59802467,10.14347367,12.098757,11.74664367,18.61390933,11.561809,19.19045167,19.39650733,21.69569533,17.12743333,14.26247867,12.53190733,16.347001,10.610856,14.62315433,19.36601733,13.571146
302.629303,18.86816233,9.005479333,12.463439,11.49702967,11.85168233,13.68619533,11.569646,10.138085,12.22556367,11.74376333,18.69063233,11.668798,19.22130833,19.408657,21.68017267,17.078334,14.375715,12.53390833,16.31188433,10.65692867,14.67766,19.35027233,13.61869233
303.000305,18.93664233,9.097892667,12.49956567,11.54770633,11.86147133,13.72602333,11.639482,10.268205,12.36815767,11.74321633,18.74098467,11.66686467,19.19356633,19.491209,21.67316333,17.037772,14.32648933,12.492442,16.35507,10.66876133,14.72203267,19.418169,13.55027867
303.371216,18.98661033,9.145685667,12.57392467,11.677932,11.84787333,13.75358967,11.70790167,10.41054867,12.444489,11.75313567,18.74074833,11.59568867,19.10218467,19.45104,21.78297233,17.07667533,14.33137533,12.448313,16.38076767,10.709813,14.75446467,19.407999,13.66905067
303.742126,19.050959,9.182797667,12.60449233,11.73344233,11.77248933,13.77848333,11.72324733,10.40226267,12.49533567,11.71513833,18.79442167,11.58941133,19.13443,19.36701133,21.79304567,17.14275033,14.34406767,12.44168267,16.427726,10.64917767,14.78048467,19.51374733,13.736336
304.113037,18.98955467,9.185358333,12.66067767,11.89149433,11.729322,13.79915267,11.87535,10.36275167,12.582185,11.666045,18.70552767,11.645067,19.07552067,19.375786,21.75935567,17.116039,14.373476,12.498502,16.402109,10.681953,14.83935233,19.51919833,13.749038
304.483856,19.09699167,9.291295333,12.66707667,11.933132,11.694921,13.86609633,11.94227167,10.30823133,12.64429933,11.72559633,18.70519233,11.666758,18.97627067,19.482055,21.72174967,17.17145467,14.378572,12.48045633,16.43846433,10.64331633,14.89864967,19.54324833,13.70716867
304.854736,19.16168667,9.226034,12.734256,11.98055033,11.744555,13.850737,11.91405767,10.21751567,12.66155667,11.759196,18.73485833,11.608618,18.884391,19.53545733,21.71461433,17.17082767,14.342463,12.46684367,16.368694,10.58432467,14.94301733,19.59926867,13.739981
305.225525,19.19268467,9.188807667,12.80281067,11.89707433,11.67300533,13.810535,12.064846,10.15569667,12.70644267,11.75143433,18.73567367,11.58798533,18.828977,19.527976,21.739132,17.105278,14.35371333,12.48074167,16.387336,10.553015,15.03581733,19.612211,13.79931733
305.596283,19.17602233,9.209625333,12.83090767,11.95857733,11.68819633,13.77760967,12.16250533,10.10911867,12.70222867,11.77042167,18.80727667,11.54859467,18.841285,19.52093967,21.72061667,17.079492,14.35555133,12.46482667,16.37333633,10.611286,14.99618133,19.60765833,13.82645633
305.967041,19.15303033,9.235608333,12.90864067,11.95968133,11.67472133,13.69548967,12.21348,10.07088367,12.700582,11.738753,18.873606,11.60712733,18.85303767,19.60302833,21.79879267,17.141241,14.35322,12.36699667,16.344745,10.555527,14.93619433,19.578283,13.91500133
306.337769,19.26379667,9.334370333,12.94807233,11.96688333,11.55607667,13.63851067,12.23925167,10.14103633,12.71237333,11.837313,18.83318967,11.55724067,18.78289767,19.69198,21.91651467,16.98592433,14.37947467,12.364175,16.34180067,10.56120733,14.94908533,19.585106,13.96429
306.708405,19.29114433,9.369412,12.94659733,12.029275,11.56043867,13.60793333,12.308826,10.12371567,12.71537367,11.90347767,18.806282,11.59641233,18.702543,19.64144967,21.897004,16.901415,14.32334267,12.370963,16.37743867,10.50482467,14.95623733,19.59072033,13.94957133
307.079071,19.32880467,9.336237,12.95547467,12.07143233,11.55504033,13.557391,12.39077267,10.130432,12.70017933,11.855903,18.767653,11.552667,18.67739867,19.60657667,21.98547133,16.80668433,14.392375,12.493827,16.389365,10.51612733,14.96218467,19.60472967,13.96471733
307.449677,19.36558133,9.430219667,12.96563133,12.10180733,11.51439067,13.520007,12.40048667,10.00946367,12.75898933,11.868999,18.72631333,11.55767933,18.611438,19.61882233,21.95638233,16.77006367,14.462739,12.49423733,16.37065133,10.467412,14.98175333,19.56808267,13.88859933
307.820313,19.450386,9.40524,12.96196867,12.09051067,11.47878867,13.39744433,12.40929467,9.973063,12.65440133,11.90316667,18.797811,11.564287,18.50895633,19.50484633,21.87937267,16.73919033,14.51289567,12.50877,16.36797033,10.50094,15.02080267,19.398058,13.834775
308.190857,19.42609567,9.417114,12.99767967,12.03106267,11.411522,13.37743067,12.43873367,9.957048667,12.62223133,11.939716,18.719166,11.55801333,18.43203867,19.460359,21.82242733,16.74365,14.445321,12.45383367,16.35738267,10.46853133,15.03282667,19.35713267,13.809017
308.561401,19.48636567,9.482497667,12.99931133,11.97352667,11.306668,13.354896,12.343986,9.941466,12.67669033,11.91994267,18.692262,11.54129633,18.41603267,19.45980633,21.806172,16.717053,14.47976833,12.481377,16.33698,10.43666167,15.07383467,19.35058467,13.77043733
308.931915,19.44692,9.56225,12.988915,11.94457433,11.327677,13.363011,12.33980333,9.837592333,12.65399133,11.99078667,18.58183033,11.54298967,18.34702667,19.453968,21.866021,16.70101167,14.457482,12.53310233,16.34117633,10.31558133,15.08784633,19.33603767,13.770955
309.302399,19.463965,9.575042667,13.03937267,11.951397,11.28101167,13.27695367,12.31346267,9.842634667,12.60843933,12.00901733,18.57906367,11.52760867,18.327934,19.50008867,21.91740167,16.59792567,14.44415033,12.643903,16.30350333,10.27689533,15.08983533,19.24485567,13.74452367
309.672821,19.44921433,9.578655,13.11073233,12.06728167,11.24186033,13.27321167,12.38438433,9.846598667,12.610239,11.93367267,18.598673,11.53547133,18.33458833,19.39005233,21.85959067,16.57079233,14.34581567,12.59120767,16.34156433,10.13789933,15.05467667,19.240486,13.75732433
