wl,AkBW1.Y,AkBW2.W,AkOB2.WY,AkOB3.Y,AkOB4.Y,AkOB5.Y,AKOB6.Y,AkOB7.Y,AkOB8.Y,AkSY1.Y,AkSY2.Y,AkSY3.WY,AkSY4.Y,AkSY5.WY
311.524628,9.090400667,34.38634,9.695271667,19.84285633,12.83755533,6.383707,8.133213333,10.92662233,11.97197233,7.084670333,14.88240233,16.44679133,4.637011,28.346135
311.894928,9.042829667,34.59770267,9.650682333,19.75806167,12.78762933,6.353195333,8.105961667,10.800891,11.893684,7.073305333,14.872093,16.423809,4.596153667,28.22915133
312.265167,8.979507333,34.83054933,9.657292,19.69725367,12.71196867,6.392366,8.129222667,10.769604,11.80924033,7.113483,14.84063367,16.25237733,4.521616333,28.12980567
312.635345,8.906218667,35.21507067,9.607508667,19.60270433,12.71743667,6.388834,8.117438667,10.77635533,11.80776633,7.082669667,14.83744367,16.121618,4.490646333,28.002716
313.005524,8.816445333,35.579841,9.664236,19.51012933,12.71647933,6.346751667,8.118794667,10.77239667,11.74798633,7.061916,14.84793967,15.99421367,4.540528333,27.91529067
313.375671,8.865529333,35.99293533,9.611152667,19.39544933,12.646555,6.376715333,8.109957333,10.83609733,11.67155767,7.101194,14.90489267,15.85605167,4.512565667,27.85292967
313.745819,8.736364,36.34196433,9.570953333,19.28036333,12.57385967,6.355612333,8.064775333,10.794932,11.64554233,7.134134333,14.99116867,15.71117533,4.523287,27.744776
314.115906,8.804946,36.840325,9.552548,19.16775767,12.56431733,6.272466,8.148075,10.775075,11.69349767,7.089353667,14.936487,15.62172433,4.544901333,27.68384433
314.485962,8.738205333,37.41323133,9.576604333,19.10680633,12.57706233,6.233032333,8.124455333,10.81416167,11.50550367,6.957335,14.93914833,15.52645467,4.526976667,27.539013
314.855988,8.740545333,38.02478033,9.501450667,18.98632667,12.55970067,6.174338333,8.048599,10.839792,11.47725433,6.951590667,14.90397567,15.489727,4.495177667,27.44667733
315.225983,8.646858,38.771745,9.477079333,18.97719,12.508714,6.16137,7.964341333,10.873332,11.44412567,6.933976,14.93320133,15.44338933,4.452067333,27.42994767
315.595947,8.588019333,39.45454167,9.509583333,18.935634,12.49252667,6.063888333,7.970028,10.86368733,11.368594,6.895498667,14.973937,15.44275633,4.491318667,27.31125533
