wl,AkBW1.Y,AkBW2.W,AkOB2.WY,AkOB3.Y,AkOB4.Y,AkOB5.Y,AKOB6.Y,AkOB7.Y,AkOB8.Y,AkSY1.Y,AkSY2.Y,AkSY3.WY,AkSY4.Y,AkSY5.WY,EtBW1.W,EtBW3.W,EtBW4.WY,EtBW5.W,EtBW6.W,EtOB1.W,EtOB2.W,EtOB3.W,EtOB4.W,EtOB5.W,EtOB6.W,EtOB7.W,EtOB8.W,EtSY1.W,EtSY2.W,EtSY3.W,NpBW1.WY,NpBW2.WY,NpBW3.WY,NpSY1.WY,NpSY2.Y,PgBW1.W,PgOB1.W,PgOB2.W,PgOB3.W,PgOB4.W,PgSY1.W,PgSY2.Y,PgSY3.W,PgSY4.W,PgSY5.W,AkBW4.W,AkBW4.Y,AkBW15.WY,AkBW17.W,EtBW7.W,EtBW19.W,NpBW1.WY,NpBW4.W,NpBW4.Y,NpBW7.WY,NpBW11.Y,NpBW12.W,NpBW13.W,PgBW8.W,PgBW10.W
303.742126,10.88399,30.846027,10.92391333,23.17694333,14.35900867,6.940928333,8.857567333,11.91905533,12.998504,7.989223667,15.11567867,19.264189,5.086821333,30.52241367,46.461977,100.4385987,26.06025467,47.70809833,35.29232533,23.98685333,56.61512633,22.265899,40.21347933,25.25350133,33.426909,26.801157,34.49362067,42.897695,25.81512533,25.17815233,41.402778,14.21354967,11.17334833,26.63233633,11.365465,83.87982967,54.896483,15.94247467,49.732596,43.020841,77.83370233,9.002938667,78.70812967,65.555004,102.420306,70.19989533,7.986002667,20.00627333,72.37091333,21.778822,28.98877167,14.50302167,45.01731367,10.125723,13.32340433,12.509695,30.51363433,71.916224,89.25609333,43.84423967
304.113037,10.79668733,31.002355,10.887526,23.039674,14.31128933,6.940320667,8.93394,11.94346933,12.962364,7.953718667,15.113507,19.04901233,5.035566333,30.50391733,46.76326433,100.3913397,25.96330533,47.89708567,35.494302,24.10786933,56.831036,22.367464,40.30601367,25.32923633,33.662969,27.03114767,34.68782833,43.19258233,25.95236667,25.32982233,41.43328233,14.11747333,11.13532267,26.57091833,11.36500267,83.96105233,54.93680833,15.98475,50.10134267,43.03446867,77.98309833,8.897650333,78.93441267,64.98353467,102.3445153,70.179944,7.924224,19.98387567,72.22957867,21.865265,29.086867,14.48436533,45.17763667,10.01423567,13.22941567,12.44277267,30.31958667,71.79906467,89.294253,43.586796
304.483856,10.75379967,31.14704033,10.82787667,22.87754233,14.24069333,6.895995,8.820617,11.84701067,12.93571833,7.869945333,15.10747767,18.96672467,5.074709667,30.48564667,47.04375167,100.3289923,25.79922667,48.194295,35.78105067,24.24378167,56.95448067,22.37395167,40.47129333,25.415374,33.93559533,27.185496,34.87189933,43.31885267,26.156093,25.45211,41.57006,13.94709133,11.00256233,26.503802,11.366145,84.18217467,55.032635,16.06853933,50.40567133,43.16048567,77.994769,8.817003,79.326032,64.41799933,102.482282,70.22796133,7.937072,19.923876,72.240865,21.940505,29.18235033,14.454956,45.24395267,10.04608033,13.108307,12.453965,30.14827233,71.65777867,89.231079,43.29603567
304.854736,10.72646467,31.269602,10.75227867,22.73255333,14.11128667,6.85773,8.755649333,11.73694533,12.89063133,7.836906667,15.12403033,18.840811,5.026291,30.41466067,47.25685,100.4092763,25.62536867,48.431211,35.99204233,24.431991,57.24488433,22.43855567,40.722013,25.52986933,34.18132233,27.27635033,35.02447633,43.38933967,26.25929133,25.68345367,41.61173833,13.801031,10.81964767,26.399488,11.339018,84.18450633,55.16431667,16.08626967,50.69413767,43.18244167,78.10075633,8.731793,79.613019,63.82988733,102.4496893,70.19402567,7.933652,19.86295167,72.13304667,21.99700833,29.222398,14.38875,45.33948133,9.964804667,13.02215667,12.368136,29.86625333,71.46954067,89.23220333,43.077128
305.225525,10.68843567,31.44222467,10.671363,22.519343,14.02453567,6.909374,8.766690667,11.679665,12.83637833,7.798816333,15.13932767,18.68312833,4.976733,30.35426467,47.381613,100.4536747,25.42030733,48.538587,36.18477,24.63353433,57.289429,22.63739533,40.917849,25.73785667,34.431503,27.36618433,35.13361733,43.49179467,26.36939,25.766411,41.66724367,13.69794067,10.70134367,26.29533433,11.24783633,84.13615667,55.31368267,16.00012167,50.88416567,43.20581433,78.14977533,8.621276667,79.70610567,63.12022633,102.1319807,70.12236033,7.854540333,19.74372533,71.99784867,22.087195,29.28204433,14.26015767,45.319781,9.888768667,12.949092,12.316346,29.657413,71.22395067,89.01441467,42.833729
305.596283,10.51681467,31.55657633,10.60907633,22.33761267,13.956895,6.834043333,8.652104667,11.645862,12.744071,7.709289,15.17392767,18.497587,4.950606667,30.188769,47.494318,100.6581243,25.250352,48.62473033,36.40068833,24.80430533,57.160843,22.813118,41.050313,25.89547667,34.74507967,27.59877267,35.369999,43.69935267,26.473304,25.91141967,41.68789667,13.50616967,10.566373,26.17487767,11.17159067,83.87298333,55.313653,16.06011233,51.11549767,43.35087233,78.16440333,8.630258667,79.69349433,62.51580433,101.9182893,69.92678733,7.719086,19.64588867,71.710452,22.30224233,29.33435067,14.18492967,45.283825,9.834644333,12.80983967,12.35457733,29.342557,70.862938,88.88343067,42.59418633
305.967041,10.44841633,31.788808,10.546344,22.112265,13.84164433,6.810076667,8.688829,11.629221,12.653146,7.683540333,15.11094567,18.39709267,4.930151667,30.10628133,47.69176033,100.796628,25.09916733,48.74301633,36.57701133,24.99638867,57.235799,22.94965367,41.32852333,26.07671933,34.89033067,27.667707,35.49000367,43.83290467,26.63892933,26.127313,41.79006633,13.34552333,10.45669967,25.98461467,11.09589833,83.69092033,55.46405033,16.07635733,51.41302367,43.40816333,78.18626167,8.543993,79.72100567,61.90604267,101.7832747,69.639047,7.671381333,19.567426,71.41083533,22.39436467,29.38271433,14.02635133,45.20327267,9.694907667,12.627259,12.27910867,29.17181667,70.504303,88.97581467,42.19524267
306.337769,10.19387567,32.012759,10.481188,21.92528067,13.776645,6.81814,8.60399,11.62031367,12.60445867,7.755133333,15.131502,18.32109433,4.839811667,29.998277,47.86534233,100.6606957,24.925168,48.866304,36.76395167,25.20301633,57.21481567,23.05930733,41.44646967,26.13568867,35.05497067,27.79700067,35.69411033,43.88862733,26.76941833,26.25627133,41.751882,13.13816833,10.26861467,25.85064567,11.09691533,83.68912767,55.659865,16.02962833,51.62247233,43.37641133,78.217804,8.504755333,79.71734633,61.330891,101.835627,69.55984233,7.57109,19.473837,71.13966367,22.43907933,29.57634033,13.949713,45.18733067,9.601164,12.528707,12.14073867,28.91243,70.172081,88.757342,41.88702
306.708405,10.093823,32.112884,10.343059,21.73688,13.68103967,6.825420333,8.624989333,11.57864067,12.55994933,7.688646667,15.13649867,18.21079,4.782773,30.00799,48.01580833,100.626564,24.79204267,49.107445,36.933197,25.37753033,57.14991533,23.181555,41.630053,26.260593,35.41067333,27.91783267,35.77704367,43.972046,26.98614467,26.45629133,41.64617933,12.99115333,10.162356,25.756644,11.033768,83.65824367,55.71732833,15.96951467,51.876573,43.38169733,78.199636,8.377605667,79.98146067,60.70208333,101.7265953,69.314397,7.54324,19.37020567,70.726452,22.58914,29.621151,13.85767967,45.047132,9.564094,12.53677667,12.01888667,28.65388467,69.701116,88.620252,41.52455867
307.079071,10.02963033,32.17715367,10.332636,21.54548367,13.58252,6.789300333,8.622522667,11.56276333,12.53517833,7.664268333,15.12609367,18.09140367,4.796514667,29.83620333,48.10007633,100.6752903,24.675384,49.29504433,37.11275,25.46243167,57.03248733,23.25597567,41.79123933,26.37279333,35.741787,28.09534533,35.93764367,44.170937,27.12189433,26.61374733,41.756496,12.82728033,9.956608667,25.63782367,11.072008,83.51511633,55.70240567,15.97223667,52.070863,43.473583,78.29734033,8.335827333,79.932424,59.99269133,101.58446,69.10111133,7.498661,19.32523233,70.438189,22.651159,29.71230767,13.82548267,44.96087233,9.457394667,12.48764233,11.94148267,28.466591,69.3013,88.45865633,41.20638433
307.449677,9.955470333,32.30033433,10.29165167,21.37610033,13.47890267,6.772965,8.606900667,11.478454,12.52230567,7.595318667,15.119069,17.91289367,4.784329,29.66499567,48.23533,100.5173543,24.473229,49.35580567,37.26698833,25.578275,56.926735,23.435593,41.97146067,26.56805667,35.98936233,28.28619567,35.98942967,44.27134933,27.245815,26.78433667,41.662361,12.62898033,9.742133,25.51442767,10.95976633,83.23589067,55.708402,15.98606667,52.296847,43.585093,78.36628233,8.184769,79.98024,59.29005167,101.467494,68.87814333,7.471659,19.195909,70.38489033,22.75785433,29.80399767,13.66498367,44.814405,9.301238667,12.383883,11.88281567,28.21497467,68.941747,88.09134667,40.91124833
307.820313,9.887083667,32.51388467,10.226059,21.21524733,13.43133867,6.734055,8.55471,11.365874,12.54780467,7.555659667,15.06628533,17.71720567,4.727818667,29.47785433,48.35827767,100.404943,24.268777,49.471026,37.450428,25.74073333,56.81338633,23.57311867,42.08925867,26.72483,36.22250233,28.499759,36.04998967,44.39686333,27.306804,26.8537,41.701621,12.529287,9.665410333,25.417116,10.90320533,83.22730233,55.75881433,16.01351267,52.453786,43.66119933,78.27060967,8.120949667,80.12621067,58.69556567,101.1159797,68.72041333,7.377508,19.02973633,69.98309467,22.884291,29.885072,13.62963233,44.72784667,9.223117667,12.18763067,11.77090433,28.02800733,68.44251233,87.73438,40.65433233
308.190857,9.813861,32.56812267,10.18665833,20.99399067,13.30193567,6.669271667,8.442252333,11.272897,12.48192967,7.448481,15.04035833,17.45626367,4.806053,29.41721967,48.41511033,100.3380203,24.138181,49.62517167,37.57277167,25.856076,56.79025133,23.65634067,42.360724,26.86764633,36.36885533,28.742831,36.158378,44.529124,27.46127933,27.04905,41.61886933,12.42033967,9.610211,25.37161067,10.91610133,82.91386433,55.83785367,15.95983667,52.60490667,43.780009,78.09003467,8.004307667,80.26296233,58.023164,100.807355,68.463198,7.335694667,18.891879,69.49539333,23.06632933,29.895016,13.47460867,44.64547,9.166648,12.085782,11.569302,27.69911067,68.14413967,87.54438767,40.423275
308.561401,9.720387,32.72895867,10.11823833,20.889809,13.26327267,6.658686333,8.384282333,11.25763667,12.490837,7.352159,15.07403767,17.32312433,4.796360333,29.300696,48.46497867,100.3607303,24.023011,49.86502567,37.67640933,25.997153,56.65844233,23.78689867,42.682097,27.051199,36.693435,28.90409667,36.22914567,44.706675,27.56098967,27.241201,41.66245467,12.23316933,9.491765,25.274518,10.88501067,82.82914967,55.78643167,16.044374,52.63154333,43.73767867,77.94179533,7.867587667,80.26937367,57.460809,100.5779293,68.27680833,7.269598,18.80953233,69.119068,23.17605367,29.997565,13.38927333,44.36437833,9.051298333,11.900177,11.370049,27.414473,67.71949267,87.21587133,40.12459167
