wl,W1.1.W,W2.1.W,W3.1.W,W4.1.W,W9.1.W,W10.1.W,W10.1.Y,W11.1.WY,W12.1.W,W12.1.Y,W13.1.W,W13.1.Yl,W13.1.Ys,W14.1.W,W15.1.WY,W15.1.Y,W16.1.W,W17.1.W,W18.1.Wl,W18.1.Y,W18.1.Ws,W19.1.W,W19.1.Y,W20.1.W,W20.1.WY,W21.1.W,W21.1.Y,W22.1.WY,W22.1.Y,W23.1.W,W23.1.Y,W24.1.WY,W24.1.Y,W25.1.Y,W26.1.Y,W27.1.Y
304.483856,25.49675833,63.71055867,50.563244,67.619854,102.150228,46.636696,27.05626233,49.037809,88.354243,10.91882567,74.76102933,43.45984033,36.325545,137.1333923,41.955555,42.40282333,90.153221,59.95876033,29.040335,32.14472367,60.9728,59.175514,24.966365,45.86261733,43.09040467,44.85032167,7.897168,36.529863,15.24374967,35.1801795,20.14993033,23.73547933,21.235049,62.25643667,42.21575567,23.26128067
304.854736,25.474427,63.78414433,50.327376,67.33940633,102.0310747,46.40964267,26.87549167,48.72793967,87.79225667,10.77739033,74.45171367,43.322708,36.25717167,136.662631,41.78725667,42.05786,89.86272433,59.45732267,28.767662,31.942463,61.07471467,58.71988567,24.84079267,45.59106933,43.05469267,44.71565,7.807625333,36.27229833,15.18205,34.8623515,20.07184133,23.593871,20.93078367,61.82784033,42.128596,23.17984333
305.225525,25.367192,63.78098933,50.12436267,67.12249067,101.7084223,46.13842533,26.57882167,48.491834,87.49604033,10.58964733,74.139076,43.13365067,36.15099867,136.3592683,41.55064367,41.6553,89.592987,58.95728567,28.52977733,31.64468133,60.90931933,58.24916967,24.67898233,45.434424,42.876994,44.60457767,7.660059,35.95224667,15.006027,34.567956,20.02659567,23.58231633,20.72776367,61.35749567,41.940717,23.07212367
305.596283,25.332796,63.58316167,49.79918567,66.74385267,101.21595,45.83376567,26.242993,48.160184,87.03938533,10.42985,73.66887933,42.91377233,36.03029,135.897947,41.305664,41.139488,89.50565567,58.34435,28.35092767,31.36474233,60.80636867,57.75084533,24.492911,45.09956267,42.809381,44.30189233,7.530532333,35.6519,14.85511667,34.33597925,19.93481633,23.36423367,20.60486433,60.931155,41.715996,23.09617833
305.967041,25.30468567,63.48196167,49.48248033,66.52527467,101.023458,45.57337067,25.97408367,48.01786167,86.51916533,10.325067,73.07266233,42.651792,35.97557833,135.397807,40.99705733,40.70229233,89.28965267,57.81452433,28.15712933,31.10110367,60.62704467,57.31198867,24.27481633,44.898056,42.740411,44.12851933,7.490570333,35.49945333,14.73720533,34.09064,19.80551233,23.17810167,20.405636,60.443592,41.283038,23.07141433
306.337769,25.27158733,63.33043033,49.32748933,66.33614533,100.8510897,45.226139,25.63288367,47.64085133,86.22340367,10.07241633,72.749985,42.438309,35.85502867,134.8695677,40.762773,40.482413,89.138883,57.16278333,27.894457,30.858005,60.51047,56.92315567,24.07021467,44.562706,42.56731033,43.911644,7.405085333,35.228405,14.70654233,33.83650575,19.64998767,22.935678,20.27197467,59.94989667,41.07558033,22.86523567
306.708405,25.277975,63.207334,49.049479,66.14261633,100.5720293,44.88172,25.343532,47.31784433,85.79244233,9.929869667,72.29770667,42.32123433,35.77687333,133.9686787,40.51007233,40.166885,88.77334067,56.65342567,27.72678233,30.55472567,60.43167233,56.541859,23.930173,44.22309367,42.45973067,43.72379433,7.280729,35.06327833,14.50678733,33.57187375,19.51127833,22.71303867,20.11978533,59.51621867,40.75208033,22.64490767
307.079071,25.18539733,63.22727333,48.760698,65.86433433,100.3212967,44.53368367,25.07673767,46.908896,85.339617,9.755938333,71.85373933,42.13806133,35.608645,133.4682263,40.24866,39.68841167,88.54282633,55.932967,27.45421433,30.25121867,60.21869533,56.02582267,23.78053533,43.89052567,42.30825933,43.28835033,7.285410667,34.80606967,14.39030333,33.25622375,19.48278233,22.509316,19.91664933,59.076393,40.44123333,22.442681
307.449677,25.12341133,63.14047367,48.62830967,65.38597433,99.76458467,44.123329,24.71535633,46.745883,84.835729,9.519889333,71.34061833,41.99945967,35.52326867,132.725342,39.88599933,39.26960767,88.00541467,55.41726667,27.29452067,29.999771,60.285352,55.660852,23.64253767,43.562406,42.171599,42.978643,7.262474,34.60569667,14.28808667,32.955309,19.35576667,22.39983433,19.752628,58.58722033,40.25744767,22.27306933
307.820313,25.024948,63.02295167,48.41414733,65.05158733,99.23861933,43.638809,24.44356933,46.370237,84.451416,9.362831,70.943278,41.67743567,35.305791,131.742373,39.54820633,38.833454,87.54573067,54.987461,27.18056433,29.62221833,60.15155933,55.06325033,23.54171567,43.27892933,42.05507767,42.77537533,7.251205,34.338965,14.172107,32.70711425,19.12152867,22.223938,19.605686,58.11800767,40.05903133,22.13637033
308.190857,24.92413367,62.746184,48.12801733,64.73037033,98.89529667,43.317422,24.20681767,45.98203,84.09597,9.253109,70.45990633,41.52925867,35.13436133,130.8675947,39.22621533,38.49475967,87.12571467,54.53299733,26.88653833,29.464633,59.916439,54.40076433,23.375725,43.04555267,41.95471867,42.507968,7.171990667,34.13541433,13.977242,32.3843965,18.97406433,22.029139,19.325344,57.616675,39.88156533,21.89826133
308.561401,24.89598267,62.52571333,47.89070267,64.502531,98.53957867,43.042652,23.98885167,45.722627,83.590848,9.215993333,69.92963667,41.21738833,35.070085,130.2020237,39.03308333,38.230395,86.75389833,54.13987233,26.68342333,29.28061833,59.780745,53.816532,23.26667233,42.79262933,41.81480033,42.18531533,7.031360667,33.94932467,13.87409733,32.088727,18.85331233,21.84146867,19.07021933,57.26182033,39.51842233,21.729776
308.931915,24.82477867,62.45704167,47.73961467,64.24041167,98.21886167,42.732862,23.77340367,45.49846767,83.21263133,9.162464667,69.388479,40.96334067,34.83091467,129.6110737,38.72990933,37.97478267,86.42298133,53.69548033,26.40696467,29.11333067,59.50483033,53.28002833,23.15134633,42.42802167,41.64106,41.97640267,6.989472667,33.79875067,13.777651,31.82455375,18.718464,21.78626167,18.86172967,56.94466933,39.21540233,21.56827867
309.302399,24.770518,62.21740733,47.51171733,63.989702,97.752739,42.41966367,23.55234033,45.26019433,83.08778133,9.033581667,68.98187633,40.73718167,34.70021833,128.8495407,38.560959,37.77788533,85.85106133,53.39959233,26.145553,28.87424267,59.329001,52.876521,22.99087833,42.03412867,41.51553733,41.742873,6.989563667,33.68578367,13.621993,31.499072,18.57872167,21.699324,18.681935,56.55584967,38.83141467,21.413397
309.672821,24.73391433,61.996859,47.318201,63.60821267,97.20307933,42.29219033,23.24208967,44.93247867,82.73589567,8.972963667,68.55096933,40.52960367,34.59764867,128.10924,38.17857633,37.571522,85.53207933,52.91827,25.96033167,28.69570233,59.19729233,52.49749767,22.85695067,41.65893433,41.48104467,41.51855733,6.801316667,33.54051533,13.58208833,31.25104425,18.44637367,21.48096033,18.540083,56.222969,38.70110033,21.29500633
310.043243,24.650966,61.73264067,47.077186,63.28852167,96.929662,42.03572333,23.100671,44.66151433,82.54683933,8.877200667,68.20707567,40.21913533,34.426745,127.615201,37.92550033,37.33111567,85.240166,52.65922533,25.78793033,28.428497,58.92006067,52.10893733,22.67023533,41.38591233,41.24501433,41.22186767,6.752823333,33.36533633,13.493333,31.02112225,18.40897867,21.31480933,18.36506733,55.833501,38.503887,21.170566
310.413635,24.57138767,61.61209067,46.781728,62.95397233,96.61040767,41.60055433,22.86262433,44.42179767,82.09673567,8.675923667,67.83679467,39.99985767,34.15613033,127.089592,37.594102,37.01836,84.88933567,52.27934533,25.604358,28.06160367,58.817159,51.69614933,22.45089667,41.161734,41.089451,41.02291867,6.640919667,33.25950933,13.38968,30.80762025,18.33834067,21.08059033,18.24733633,55.61950567,38.25752867,21.09405833
310.784027,24.42785833,61.49396767,46.676373,62.740005,96.13141367,41.31468867,22.645788,44.11094167,81.811958,8.66834,67.41312133,39.66568533,33.973933,126.288086,37.38051867,36.699548,84.49738067,51.904401,25.38072067,27.800874,58.632052,51.442106,22.359216,40.86796567,40.98211167,40.85002633,6.479866,33.01655567,13.28513033,30.67065,18.331306,20.952036,18.04489867,55.30262867,38.11032367,20.97792467
311.154327,24.281578,61.16008033,46.395105,62.353629,95.78058633,40.99484767,22.386889,43.82198333,81.74381267,8.580339,66.979641,39.393739,33.84450733,125.3596193,37.08259967,36.310295,83.884547,51.49881333,25.11471933,27.657225,58.462873,51.009398,22.11143567,40.63806267,40.82162367,40.60096467,6.367163,32.88195467,13.14040767,30.4188165,18.232017,20.78481733,18.00643933,55.00237167,37.90917067,20.93243267
