Nephila,a,b
W2,510.45,140.1225
W4,1942.29,2251.7725
W10,1914.03,293.78625
W13,0,1369.4325
W16,1186.33,1195.1625
W26,2597.76,880.77
Y16,0,931.01
Y20,1256.39,1009.70625
Y27,1639.47,496.5125
