wl,W1.2.W.N,W11.2.W.N,W13.2.WY.N,W15.2.W.N,W25.2.W.N
330.37027,74.003306,75.187182,17.78295267,21.44533667,70.68622867
330.738983,73.81137067,74.879088,17.96580567,21.620591,70.62857567
331.107697,73.62393067,74.87706867,18.026798,21.60293333,70.89785767
331.476379,73.455681,74.738014,18.15651,21.57063267,70.94084933
331.845032,73.241165,74.45857733,18.22036133,21.65819733,70.85739667
332.213654,73.06996,74.24353567,18.26095633,21.783406,70.85360733
332.582245,72.73995967,74.01752967,18.33509533,21.84276367,70.85896533
332.950806,72.456164,73.74680967,18.50833333,21.97276233,70.95323467
333.319305,72.31600833,73.63238533,18.502958,22.08239633,70.94892633
333.687775,72.21550733,73.686142,18.52712667,22.17689133,71.07256333
334.056244,72.02940733,73.504228,18.58595333,22.18125933,71.017703
334.424683,71.89175167,73.23295233,18.68941933,22.27785167,70.86356867
334.793091,71.786013,73.165259,18.69699233,22.23754533,70.87928
335.161499,71.61161667,72.99154667,18.73940667,22.30591233,70.75834667
335.529785,71.36103433,72.90624867,18.651114,22.36409133,70.637253
335.898132,71.19443133,72.733473,18.71451233,22.39799933,70.71041867
336.266388,71.078676,72.74274333,18.73897333,22.337678,70.71158833
336.634613,71.057878,72.658839,18.83337267,22.37375933,70.71969333
337.002838,70.98491533,72.497251,18.800913,22.47842133,70.63314833
337.371033,70.929844,72.43595367,18.793129,22.51758233,70.68711833
337.739197,70.71451067,72.17524567,18.76604467,22.53816833,70.666987
338.10733,70.533029,72.086366,18.83833367,22.44371567,70.662552
338.475433,70.376747,71.947037,18.857009,22.461237,70.584831
338.843475,70.10567333,71.85677833,18.92813333,22.51260633,70.47242233
339.211517,69.90933867,71.98228433,18.858755,22.55191167,70.483434
339.579498,69.761693,72.03680033,18.89073833,22.58195267,70.306272
339.947449,69.53418867,72.03216933,18.82538267,22.53010833,70.05213933
340.31543,69.37105433,71.93709567,18.76127833,22.582609,70.072975
340.683289,69.181783,71.67649367,18.654431,22.589027,69.99262767
341.051208,68.94643667,71.53307733,18.68803933,22.53217333,69.92658233
341.419067,68.710532,71.35989133,18.610964,22.46423667,69.739441
341.786865,68.64037967,71.30738067,18.53545267,22.50107067,69.59467033
342.154663,68.522527,71.283236,18.54489633,22.49726167,69.63672133
342.522369,68.27369167,71.15642933,18.522625,22.52166967,69.61865967
342.890076,68.064056,70.962606,18.52237467,22.42217933,69.592725
343.257813,68.00525567,70.807255,18.56317767,22.37239967,69.58830767
343.625458,67.80626567,70.72292967,18.467527,22.42457467,69.458491
343.993134,67.713637,70.46571833,18.46329633,22.51667733,69.32677233
344.360718,67.634023,70.47064833,18.40567533,22.48400233,69.30111667
344.728271,67.471555,70.456248,18.39386733,22.417806,69.15858967
345.095795,67.237835,70.383199,18.402028,22.383081,69.00979633
345.463287,67.17012033,70.49051667,18.41454433,22.37843767,68.882665
345.83075,67.10489933,70.44438167,18.41815733,22.38641033,68.65924567
346.198212,67.019994,70.35426467,18.40297967,22.33031133,68.495664
346.565613,66.96463267,70.19729633,18.33398,22.318997,68.31487533
346.933014,66.913897,69.961183,18.22770067,22.31604267,68.36554467
347.300354,66.87095133,69.82175567,18.25578467,22.30460433,68.56607567
347.667694,66.80817167,69.78004567,18.17194367,22.40471233,68.699674
348.034973,66.742681,69.63628133,18.15403567,22.36153033,68.627604
348.402222,66.74520967,69.826098,18.176484,22.26709167,68.49119067
348.769409,66.774357,69.60862367,18.12653333,22.255285,68.38966633
349.136627,66.76273067,69.48917267,18.12475133,22.28620567,68.35762067
349.503784,66.58304967,69.44217567,18.17045567,22.317792,68.39976767
349.870911,66.50733567,69.420227,18.08512467,22.35785167,68.24380733
350.238007,66.407263,69.33121867,18.04503233,22.35915133,68.27751933
350.605072,66.36469933,69.339611,17.96054267,22.347699,68.27745833
350.972107,66.26052067,69.309273,17.93296433,22.420279,68.33164967
351.339111,66.18851467,69.21595033,17.95005567,22.37258633,68.414688
