wl,W2,W3,W15,W16,W17,W18,W25,W26,Y2,Y4,Y16,Y18,Y27,Ak1,Ak2,Ak4,Ak5,AkOB4,Cl,Et1,Et4,Et13,Lh1,Lh2,Lh3,Lh5,Lh6,Lh7,Lh8,Lh9,Lh10,Np,Np1,Np2,Np3,Np4,Np9,Np20,Np23,Np27,Pg3
300.031616,7.155671667,4.569142333,9.203907667,7.130783,12.583528,16.63820667,45.99315767,8.420086333,10.05556233,11.65795733,8.234604333,6.962154,10.44225867,12.749788,25.01436267,21.104198,10.62063167,11.98629367,12.847248,4.29594,12.68833733,6.187412667,12.89745933,20.25352733,13.39210167,12.221119,6.193086333,7.01097,8.445931,18.650098,20.79600233,6.274945667,9.362424333,12.192501,4.436901333,7.693529,11.73697667,6.202512333,14.100518,5.752583333,6.671763667
300.402832,7.170034333,4.621010667,9.263506667,7.159035333,12.688451,16.779452,46.09979633,8.441393333,10.185842,11.69501133,8.294797333,7.075047333,10.47791033,12.73229233,24.93658767,21.062267,10.604981,12.019976,12.90673933,4.292251,12.632149,6.246014667,12.88095867,20.33159333,13.500247,12.204593,6.156868667,6.994591667,8.462726,18.63070933,20.66347533,6.316881333,9.529478333,12.22369567,4.437993333,7.773931667,11.78363233,6.327078,14.16493167,5.782716333,6.659500333
300.773987,7.254509,4.604135333,9.374274333,7.238203333,12.752493,16.813304,46.31067167,8.465757,10.280909,11.692974,8.294213667,7.124386667,10.53253133,12.66250533,24.85816267,20.977098,10.57805233,12.02797433,12.91711867,4.337542,12.71355233,6.282349667,12.828405,20.39044333,13.580141,12.160889,6.157176667,7.092597667,8.517559667,18.65877867,20.60905,6.414182,9.627741333,12.29065067,4.420764333,7.840026,11.999797,6.452539667,14.20108367,5.741919,6.618468333
301.145111,7.270089,4.617530667,9.459366667,7.312683667,12.88317967,16.87834433,46.57232167,8.521916667,10.36500533,11.72523367,8.387801,7.168042333,10.62091767,12.60353033,24.86348133,20.94138533,10.575739,12.02401567,12.86615233,4.326051333,12.75652533,6.259371,12.86067267,20.48295567,13.63969,12.13412533,6.145157,7.052976,8.536028333,18.72226667,20.60965233,6.500074,9.758992333,12.38141833,4.325943,7.901071667,12.104998,6.474621333,14.123789,5.708221667,6.633548333
301.516174,7.307983333,4.657661667,9.532340667,7.366749667,13.063482,17.024537,46.77152233,8.534255,10.40356267,11.77966667,8.416798667,7.198550667,10.726194,12.57341767,24.83885,20.89827067,10.553375,12.01090033,12.859501,4.320383667,12.74105,6.275493,12.940743,20.55266967,13.69391033,12.148313,6.149023333,7.020935333,8.547034333,18.729103,20.47243267,6.506956667,9.874549,12.46502967,4.318829333,7.959556333,12.206803,6.6096,14.168261,5.720592333,6.672166667
301.887207,7.322056333,4.681513,9.631924,7.43461,13.206301,17.12151367,46.91280233,8.529941667,10.49270567,11.79572367,8.436705667,7.277907333,10.80328667,12.488128,24.82775033,20.86806833,10.48811833,11.99602733,12.91842133,4.312205667,12.68166867,6.325742,12.86802533,20.57178067,13.70853533,12.15322133,6.163415667,7.031007667,8.595036,18.76531333,20.37400433,6.586477,9.998238333,12.534174,4.305554667,7.965101333,12.360567,6.756818667,14.29227367,5.755329,6.759149667
302.258301,7.338370667,4.705165333,9.711878667,7.486535333,13.32757033,17.21151133,47.06809833,8.512865333,10.570541,11.82558733,8.463903,7.300129667,10.90980667,12.478194,24.811482,20.820917,10.43477667,11.959466,12.89608867,4.378649,12.614625,6.394246667,12.866428,20.61734033,13.80768333,12.19481767,6.158894333,7.091598333,8.612937667,18.69075,20.375167,6.621472667,10.11205533,12.63901767,4.344319333,8.004143333,12.54070833,6.868562667,14.317286,5.739038333,6.879385667
302.629303,7.400336667,4.671051667,9.771956,7.533206333,13.43637533,17.34944333,47.18146767,8.468358333,10.61052367,11.90055733,8.488392,7.397382667,11.00867833,12.47897967,24.79410067,20.80876033,10.39642667,11.930044,12.91466567,4.308039667,12.52368233,6.318420333,12.88972267,20.729549,13.86750967,12.13276767,6.077485333,7.081504333,8.574599,18.646659,20.326078,6.686382667,10.18130233,12.68438233,4.270577333,8.090482667,12.63808433,7.016601333,14.37858033,5.723737,6.851735667
303.000305,7.433431667,4.684927667,9.831728333,7.589939667,13.530044,17.44123933,47.280482,8.456989667,10.669338,11.86907933,8.470418,7.488632,11.018981,12.44675467,24.67194167,20.75181033,10.350783,11.871935,12.90267267,4.25541,12.48168167,6.294823,12.85102867,20.742392,13.81902467,12.07837367,6.053326,7.008219333,8.583558667,18.64707867,20.35898733,6.782095667,10.26665467,12.69952567,4.205308333,8.171154,12.71343167,7.080198667,14.38084233,5.689614333,6.875156333
303.371216,7.482075333,4.68556,9.879061,7.597778333,13.641938,17.44476433,47.407078,8.421598,10.67887667,11.89510833,8.503802,7.553732667,11.13177933,12.404851,24.63676067,20.65349367,10.36489133,11.831456,12.89598767,4.199751,12.42021867,6.301618333,12.84203333,20.86645333,14.01677067,12.04799867,6.001994,6.994263,8.598914333,18.53226033,20.30828533,6.787394,10.36648,12.74722567,4.149167333,8.194608,12.861907,7.223045,14.536417,5.703626333,6.886195333
303.742126,7.588567,4.727456,9.963176667,7.694135333,13.700111,17.49088767,47.47875867,8.437050333,10.73727333,11.967393,8.552827667,7.603568,11.121396,12.34557633,24.57218367,20.618507,10.33274933,11.82286933,12.881352,4.176211667,12.38660433,6.299004667,12.76386267,20.88731933,14.11549533,12.007524,5.926961,7.057576333,8.584448333,18.56542833,20.24514,6.787585667,10.41175533,12.80413467,4.120652,8.149568667,13.03461433,7.275395333,14.52243633,5.705416333,6.926963667
304.113037,7.585671,4.753831,10.062516,7.743315,13.69264167,17.44078367,47.39457833,8.364222333,10.69871267,11.94836133,8.543973333,7.629899,11.099952,12.39818733,24.53973567,20.55111167,10.225439,11.82324367,12.88354133,4.130427333,12.33873533,6.278654,12.601944,20.94630933,14.13027233,11.96092367,5.925209,7.039880667,8.572278667,18.57258933,20.19419933,6.831889,10.443949,12.80886933,4.068506333,8.116648,13.20240533,7.267640667,14.56801133,5.705011333,6.923418333
304.483856,7.623702333,4.778826,10.13211533,7.831840667,13.81577967,17.451549,47.336675,8.347720333,10.63504467,11.98833533,8.575340667,7.688016333,11.05626533,12.51183533,24.56871867,20.52556933,10.18675733,11.82180133,12.86717667,4.092560333,12.26618967,6.276111,12.564295,20.951424,14.13688467,11.903882,5.961231667,6.985124333,8.540387,18.48362867,20.23447167,6.814175667,10.50792033,12.86465567,4.112399667,8.110503,13.28935067,7.319426667,14.54558867,5.646799667,6.841071333
304.854736,7.657241,4.764259333,10.171382,7.857584333,13.79621567,17.48715567,47.25187167,8.337062,10.63281167,11.95942867,8.592142333,7.707961333,10.994298,12.406983,24.55177067,20.43970133,10.11203867,11.752647,12.883212,4.100283,12.23713433,6.230554,12.59598033,21.03848433,14.19057267,11.89342067,5.936259667,6.992765,8.482458667,18.42549767,20.213522,6.852651333,10.53965333,12.816535,4.152974667,8.110608667,13.30864567,7.380926,14.577399,5.66595,6.822806667
305.225525,7.621134,4.769571333,10.17177967,7.913318,13.814621,17.493533,47.222173,8.275992333,10.611383,11.88259567,8.574,7.746608,10.87546167,12.38529633,24.42126533,20.32267067,10.19843,11.66189233,12.900054,4.075498,12.24086,6.174652333,12.67593133,21.180081,14.22282067,11.87125833,5.781921,6.999752667,8.410369667,18.373761,20.14886667,6.856663,10.525642,12.84642067,4.111011667,8.179698,13.26520033,7.416904667,14.60472767,5.631858333,6.745351
305.596283,7.569235667,4.78422,10.19086,7.989274,13.92442167,17.59577033,47.07256567,8.181499,10.63934567,11.90395433,8.626016,7.788962667,10.87545033,12.321049,24.37581367,20.28453,10.14853467,11.632215,12.965797,4.071637667,12.202288,6.173487,12.50366467,21.18245033,14.34041733,11.82784333,5.72267,6.994256333,8.53552,18.3524,20.10683767,6.782015,10.51229567,12.812445,4.039800333,8.167651333,13.27825633,7.503531333,14.601391,5.604366667,6.7828
