wl,AkBW4.W,AkBW4.Y,AkBW15.WY,AkBW17.W
337.002838,56.747194,6.499972333,16.60702467,59.12165567
337.371033,56.75542333,6.484723333,16.509347,59.09193567
337.739197,56.65978867,6.408666667,16.50601833,59.12024933
338.10733,56.575638,6.368444667,16.499072,59.07336933
338.475433,56.54570933,6.389479667,16.504365,59.03554667
338.843475,56.50053167,6.278273667,16.488233,58.91794833
339.211517,56.44191867,6.274870333,16.555446,59.00962967
339.579498,56.43867733,6.217496333,16.539598,58.98578133
339.947449,56.45439767,6.227487333,16.52045533,59.08807
340.31543,56.439035,6.221000667,16.50514767,59.07378367
340.683289,56.40293633,6.170187333,16.438596,59.06246567
341.051208,56.40272033,6.164229667,16.434865,59.006528
341.419067,56.42868433,6.220241,16.36730233,58.91967267
341.786865,56.47446833,6.261823667,16.34759233,58.79468533
342.154663,56.534813,6.235062333,16.40189867,58.762398
342.522369,56.648299,6.253227,16.42475467,58.615046
342.890076,56.51458233,6.228269333,16.31009733,58.45141833
343.257813,56.47932433,6.178063667,16.30613533,58.34164933
343.625458,56.494344,6.263958333,16.28223833,58.27443167
343.993134,56.524746,6.333685667,16.316416,58.17941533
344.360718,56.535301,6.324278,16.32083,58.238191
344.728271,56.50339767,6.283232,16.30213433,58.12966133
345.095795,56.43046567,6.199344333,16.35053333,58.217097
345.463287,56.437088,6.24486,16.35414167,58.13837067
345.83075,56.32653433,6.228825667,16.31887433,58.12822367
346.198212,56.422644,6.176237,16.31762833,58.12884133
346.565613,56.401132,6.215092667,16.27887333,58.20222833
346.933014,56.37008267,6.166953,16.22531067,58.08718
347.300354,56.27174,6.173954333,16.21667233,57.91573967
347.667694,56.28781267,6.13974,16.229276,57.747153
348.034973,56.259725,6.109949333,16.22029033,57.62819267
348.402222,56.22685367,6.091754667,16.26557067,57.54697533
348.769409,56.23954167,6.091177667,16.35527067,57.53527567
349.136627,56.14570867,6.105812,16.33115033,57.38414033
349.503784,56.15874733,6.0555,16.36370267,57.34244
349.870911,56.04846967,6.019986667,16.28629367,57.24987033
350.238007,56.08478167,5.986451333,16.29010167,57.17290133
350.605072,56.15996567,6.026693667,16.36727433,57.11389933
350.972107,56.11846167,6.047327,16.39310533,57.05718233
351.339111,56.215337,6.005593333,16.476256,57.04207233
351.706085,56.17531067,5.995713333,16.511504,56.965701
352.073029,56.21340333,6.048029667,16.60151733,56.89788167
352.439972,56.151526,6.079877667,16.56981267,56.94454467
352.806824,56.179325,6.147507667,16.56978767,56.85290267
353.173676,56.21343733,6.146296333,16.51934867,56.81696833
353.540466,56.22082267,6.196555333,16.54445767,56.80158467
353.907257,56.21166233,6.236597333,16.551034,56.77996833
354.273987,56.210888,6.231412667,16.60853433,56.67867533
354.640747,56.198859,6.251137333,16.63365033,56.661461
355.007446,56.270049,6.208082667,16.70987667,56.66501367
355.374115,56.15225733,6.267713667,16.716353,56.70877067
355.740723,56.15845233,6.370903,16.73041867,56.75436133
356.1073,56.10261033,6.430023667,16.75207,56.795446
356.473846,56.101091,6.423653,16.72330667,56.76775633
356.840393,56.14649467,6.413347667,16.78408,56.84353733
357.206879,56.14190667,6.428603333,16.84232767,56.872289
357.573364,56.101938,6.389563333,16.873392,56.959643
357.939789,56.00852733,6.414109333,16.86007,57.083013
358.306213,55.97311567,6.399764333,16.83854467,57.13424567
358.672577,56.00932933,6.412737333,16.88525933,57.2208
359.03891,55.870557,6.413031667,16.88003933,57.194172
359.405212,55.75724167,6.406092,16.90463,57.14115267
359.771484,55.64839167,6.379668667,16.88591167,57.15916967
360.137695,55.67423633,6.403472667,16.94095233,57.16934733
360.503937,55.581539,6.438833667,17.001635,57.30061333
360.870148,55.47940467,6.40241,17.10821433,57.33828733
361.236298,55.454614,6.458766333,17.16735133,57.349856
361.602417,55.38688533,6.492111667,17.21694333,57.33821233
361.968475,55.40123633,6.486736333,17.28341267,57.46312333
362.334503,55.44065567,6.499167667,17.336074,57.52096067
362.700562,55.363397,6.521373667,17.32015167,57.61344167
