wl,NpBW1.WY,NpBW4.W,NpBW4.Y,NpBW7.WY,NpBW11.Y,NpBW12.W,NpBW13.W
322.619751,12.30036867,39.84837467,7.773954,10.66889567,9.928458333,22.89573533,55.153615
322.989136,12.34538533,39.72354267,7.643813333,10.597369,9.953831,22.88220033,54.91947033
323.35849,12.38902,39.58766533,7.570480667,10.574356,9.977094333,23.02405333,54.58583333
323.727814,12.42501567,39.54692333,7.573321,10.53228467,10.089349,23.06699067,54.25684133
324.097107,12.411687,39.50365933,7.514919667,10.470442,10.15244867,23.16838,54.06534567
324.466339,12.411754,39.493056,7.476494,10.445679,10.20250267,23.350947,53.8974
324.835541,12.455993,39.4551,7.479604333,10.43998967,10.20746467,23.32083633,53.912441
325.204712,12.57319667,39.42930867,7.431886,10.42236267,10.239363,23.287092,53.67886733
325.573914,12.59629833,39.406409,7.490022667,10.45412533,10.28356833,23.29121633,53.540979
325.943024,12.600297,39.320511,7.513198667,10.46020067,10.34951533,23.403447,53.45950733
326.312164,12.585726,39.206051,7.53053,10.53259033,10.356953,23.551691,53.41904533
326.681244,12.62307833,39.15435667,7.596456,10.56969167,10.35247033,23.686258,53.40612767
327.050262,12.60700567,39.02977367,7.565245333,10.57354133,10.36281533,23.731344,53.38063433
327.41925,12.667905,38.94215167,7.587652667,10.6295,10.35687067,23.78397567,53.34404767
327.788239,12.62259933,38.97748333,7.609652333,10.73286067,10.38415667,23.90668567,53.26324733
328.157166,12.637705,38.862919,7.606111667,10.74576667,10.34794567,23.96357233,53.22805267
328.526123,12.71654533,38.86026133,7.565221,10.828272,10.34746233,24.12633267,53.10542
328.894989,12.72493733,38.86681267,7.568690333,10.88182267,10.365065,24.357209,53.05417467
329.263885,12.79324833,38.88336467,7.505780333,10.93725233,10.363538,24.42417767,52.93985233
329.63269,12.85612867,38.775534,7.447553,10.88919733,10.28360367,24.56590533,52.84265767
330.001495,12.92841233,38.883058,7.429216667,10.92932367,10.23326033,24.682768,52.781026
330.37027,12.94899767,38.91140967,7.469971333,10.92652867,10.23986367,24.70277167,52.77777467
330.738983,12.99092867,38.801403,7.464016333,10.89236833,10.2471,24.82533267,52.75124
331.107697,13.05301233,38.67080967,7.468271667,10.91477933,10.23840733,24.711404,52.74473433
331.476379,13.12346067,38.557059,7.499077333,10.944546,10.07244467,24.75105233,52.726373
331.845032,13.23247033,38.43251933,7.544919333,10.991642,10.03880767,24.743324,52.660707
332.213654,13.283637,38.42660133,7.587176333,11.01520733,9.974850333,24.67499367,52.625103
332.582245,13.25543067,38.41202267,7.574225667,10.98944533,9.928724333,24.69516167,52.531564
332.950806,13.247077,38.36438,7.630463333,10.99071067,9.901023333,24.77834533,52.52464533
333.319305,13.30392,38.41115433,7.550505,10.96832733,9.826245667,24.80202933,52.44769933
333.687775,13.38950967,38.413376,7.495742667,11.01237933,9.790299667,24.711237,52.43734367
334.056244,13.456386,38.35196333,7.450825,11.018599,9.779403333,24.710189,52.34594467
334.424683,13.52113733,38.245664,7.443222,10.971476,9.725709,24.593943,52.28173567
334.793091,13.60391467,38.33093133,7.469365333,10.97518067,9.694399667,24.66553233,52.279915
335.161499,13.64136867,38.41334667,7.436908,10.99706433,9.626953667,24.63359267,52.27361067
335.529785,13.673016,38.300611,7.339735333,10.93036267,9.589911667,24.60398933,52.30536
335.898132,13.66901533,38.312403,7.327278,10.89807933,9.528324667,24.639366,52.37461833
336.266388,13.65764833,38.27235033,7.335018667,10.889248,9.426486667,24.64327167,52.47079333
336.634613,13.72760633,38.247608,7.35469,10.86722833,9.342364333,24.561868,52.57710667
337.002838,13.67548767,38.17278667,7.306632333,10.890007,9.283479,24.50574067,52.686816
337.371033,13.71324933,38.12707,7.335842333,10.94291133,9.315403,24.44974967,52.93416733
337.739197,13.65984467,38.02976233,7.318673667,10.94940167,9.278491667,24.37810733,53.158096
338.10733,13.66772033,38.02287033,7.385089667,11.00456967,9.293738667,24.3961,53.23253733
338.475433,13.68639167,37.998001,7.358701667,11.03433767,9.246122667,24.455161,53.36962
338.843475,13.62689367,38.00545233,7.310902333,11.10874767,9.151009333,24.46429467,53.556699
