wl,PgBW8.W,PgBW10.W
300.031616,87.155042,44.77147
300.402832,87.37324767,44.68460067
300.773987,87.668968,44.678333
301.145111,87.97677367,44.63615933
301.516174,88.15284733,44.57413633
301.887207,88.538129,44.45675167
302.258301,88.71731067,44.35745733
302.629303,88.874967,44.272638
303.000305,88.89596833,44.12276967
303.371216,89.00588733,44.00172833
303.742126,89.25609333,43.84423967
304.113037,89.294253,43.586796
304.483856,89.231079,43.29603567
304.854736,89.23220333,43.077128
305.225525,89.01441467,42.833729
305.596283,88.88343067,42.59418633
305.967041,88.97581467,42.19524267
306.337769,88.757342,41.88702
306.708405,88.620252,41.52455867
307.079071,88.45865633,41.20638433
307.449677,88.09134667,40.91124833
307.820313,87.73438,40.65433233
308.190857,87.54438767,40.423275
308.561401,87.21587133,40.12459167
308.931915,87.05797567,39.79486867
309.302399,86.710536,39.60059233
309.672821,86.18869267,39.32920833
310.043243,85.666542,39.02861633
310.413635,85.26966367,38.75526433
310.784027,84.82818867,38.560056
311.154327,84.76415233,38.23827933
311.524628,84.30770867,38.003345
311.894928,83.89930433,37.71690033
312.265167,83.57262467,37.38867
312.635345,83.37880967,37.12075367
313.005524,83.16484833,36.82406867
313.375671,82.912641,36.56646867
313.745819,82.689125,36.38608667
314.115906,82.418442,36.116023
314.485962,82.08570633,35.92959433
314.855988,81.78460433,35.71732133
315.225983,81.540909,35.485789
315.595947,81.47255433,35.20420767
315.965912,81.17247033,34.82811167
316.335815,80.80730167,34.50752733
316.705688,80.46671533,34.21206967
317.075562,80.40603133,34.08986433
317.445374,80.16948167,33.903336
317.815216,80.158043,33.72589667
318.184967,79.95743567,33.47262533
318.554688,80.02932733,33.23519067
318.924377,79.778679,32.98086667
319.294037,79.52766433,32.66006167
319.663696,79.645246,32.299128
320.033295,79.43385333,32.05502633
320.402924,78.97497567,31.85419033
320.772461,78.79769633,31.66562067
321.141968,78.41539767,31.499501
321.511475,78.086014,31.23147
321.88092,77.737991,31.00679233
